DIA;HUMR;TEMP;PRES_ATM
1;29.37;65.25;98.62
2;27.17;74.81;98.75
3;27.17;72.94;98.9
4;26.79;73.19;98.83
5;28.94;67.5;98.72
6;26.8;82.19;98.88
7;26.21;86.12;98.71
8;27.04;79.31;98.74
9;26.67;76.81;98.83
10;26.95;75.81;99.06
11;26.49;77.06;99.16
12;27.84;66.75;98.87
13;27.77;68.31;98.65
14;26.71;76.94;98.86
15;25.14;82.69;99.02
16;26.65;77.12;99.07
17;27.32;75.44;98.99
18;28.27;71.31;98.99
19;29.4;64.12;98.98
20;28.61;71.56;98.85
21;29.05;67.06;98.74
22;29.21;65.0;98.59
23;28.98;65.5;98.63
24;29.35;66.25;98.74
25;29.2;67.94;98.73
26;29.33;65.19;98.58
27;29.15;68.0;98.45
28;27.9;71.88;98.49
29;27.97;71.25;98.48
30;28.21;75.0;98.41
31;28.83;74.0;98.53
32;29.38;71.69;98.56
33;27.48;83.56;98.54
34;27.94;80.88;98.39
35;29.18;65.56;98.4
36;29.43;57.75;98.45
37;30.3;57.38;98.44
38;29.98;61.94;98.52
39;29.38;68.38;98.53
40;28.66;72.06;98.55
41;29.32;68.12;98.68
42;26.88;79.5;98.9
43;26.96;79.75;98.97
44;27.75;71.62;99.03
45;27.96;74.69;99.07
46;29.05;68.31;99.04
47;28.58;68.44;99.12
48;28.34;69.12;98.95
49;26.31;81.0;98.7
50;27.0;77.88;98.52
51;27.15;79.06;98.64
52;27.87;75.88;98.86
53;27.26;72.62;98.89
54;27.69;58.19;98.81
55;26.52;73.94;98.82
56;27.5;73.94;98.88
57;27.06;78.69;98.89
58;26.91;75.75;98.84
59;28.45;69.25;98.78
60;28.76;70.19;98.91
61;27.83;76.56;99.05
62;29.29;68.44;98.83
63;29.98;63.19;98.67
64;29.23;70.31;98.65
65;28.64;72.44;98.8
66;26.69;78.94;98.96
67;27.64;73.81;98.78
68;29.65;65.38;98.72
69;29.73;63.81;98.68
70;30.05;61.75;98.67
71;30.69;59.88;98.62
