DIA;HUMR;TEMP;PRES_ATM
1;27.51;86.25;98.37
2;27.59;86.69;98.49
3;26.96;88.75;98.59
4;26.84;88.12;98.44
5;26.51;88.69;98.56
6;27.08;82.06;98.61
7;28.31;73.38;98.56
8;28.25;73.12;98.56
9;27.73;81.44;98.59
10;26.97;84.25;98.66
11;27.26;80.25;98.6
12;27.73;73.81;98.68
13;26.66;79.25;98.81
14;25.3;86.38;99.12
15;26.22;83.69;99.17
16;27.01;83.44;98.89
17;27.5;79.69;98.82
18;27.61;77.12;98.95
19;27.4;76.94;99.1
20;27.17;77.25;99.03
21;26.35;80.94;98.93
22;26.89;77.56;98.86
23;28.3;72.44;98.84
24;28.4;71.69;98.8
25;28.72;69.94;98.72
26;28.24;71.62;98.69
27;27.77;76.44;98.7
28;27.06;82.81;98.53
29;26.6;83.69;98.48
30;26.87;84.38;98.46
31;26.38;87.94;98.54
32;25.58;86.44;98.67
33;26.19;84.94;98.67
34;25.73;87.81;98.79
35;26.07;85.5;98.83
36;25.83;88.06;98.84
37;26.55;78.06;98.93
38;24.63;82.0;99.02
39;25.64;81.31;98.93
40;25.51;83.19;98.8
41;25.4;83.25;98.63
42;25.94;85.56;98.59
43;27.32;80.69;98.72
44;27.41;76.88;98.73
45;27.29;79.88;98.72
46;26.73;84.19;98.88
47;27.74;79.56;98.9
48;28.0;80.12;98.8
49;27.05;83.81;98.61
50;26.55;82.56;98.58
51;26.12;84.0;98.65
52;25.53;88.88;98.84
53;25.81;88.31;99.03
54;26.58;83.12;98.92
55;26.67;84.12;98.85
56;26.84;83.69;99.06
57;27.73;81.56;99.07
58;27.67;81.12;98.82
59;27.15;83.69;98.82
60;27.45;79.75;98.86
61;27.09;83.56;98.9
62;26.14;84.5;98.92
63;26.69;81.19;98.84
64;26.46;82.94;98.72
65;26.48;82.38;98.7
66;27.1;80.06;98.7
67;26.26;82.75;98.85
68;25.05;86.12;98.89
69;26.01;81.12;98.83
70;25.95;82.56;98.88
71;24.5;87.75;98.88
72;25.69;86.38;99.01
73;23.76;84.56;99.09
74;25.49;68.62;99.06
75;25.33;63.44;98.92
76;26.49;74.0;98.79
77;27.23;77.44;98.96
78;26.9;81.31;99.08
79;27.31;78.31;99.01
80;27.5;75.81;98.89
81;27.02;80.44;98.82
82;27.01;81.94;98.7
83;26.81;84.75;98.73
84;25.55;83.75;98.94
85;24.59;71.25;99.0
86;27.26;70.5;99.0
87;28.3;70.62;98.98
88;27.98;74.88;98.8
89;26.28;82.44;98.87
90;18.54;76.44;99.44
91;20.28;67.44;99.59
92;22.46;74.5;99.33
93;25.8;77.75;99.02
94;27.13;78.31;99.03
95;27.96;71.94;99.03
96;27.83;69.75;98.97
97;28.3;70.19;98.88
98;28.09;73.44;98.94
99;27.87;76.81;98.94
100;26.48;83.19;98.78
101;27.04;78.0;98.66
102;27.61;75.25;98.72
103;27.68;74.5;98.86
104;24.57;67.62;99.16
105;25.4;57.31;99.1
106;26.62;64.0;99.08
107;26.78;55.81;99.17
108;26.07;54.94;99.18
109;26.28;60.06;99.06
110;26.55;65.94;99.06
111;27.26;68.38;98.97
112;27.29;73.75;98.63
113;27.73;73.81;98.71
114;27.91;73.94;98.85
115;28.73;70.06;98.86
116;28.78;68.38;98.85
117;27.81;68.38;98.78
118;28.04;64.12;99.04
119;28.14;59.25;99.2
120;27.7;56.81;99.08
121;27.95;61.38;98.92
122;27.95;64.75;98.96
123;22.22;81.44;99.42
124;20.69;52.0;99.55
125;20.42;42.88;99.49
126;22.52;47.06;99.51
127;24.51;49.0;99.46
128;24.95;50.44;99.23
129;26.56;58.88;99.21
130;27.66;60.5;99.12
131;26.19;60.81;99.21
132;26.25;58.31;99.17
133;27.31;65.75;98.99
134;28.05;62.75;98.95
135;27.22;62.94;99.12
136;21.98;49.06;99.79
137;19.41;40.25;100.06
138;16.59;36.12;100.03
139;16.0;39.5;99.69
140;17.58;45.5;99.59
141;20.46;55.31;99.56
142;23.58;56.56;99.47
143;25.36;62.44;99.18
144;26.39;56.44;99.11
145;25.52;62.56;99.26
146;26.11;68.12;99.34
147;27.33;58.0;99.17
148;27.35;59.75;98.91
149;28.37;59.56;98.76
150;28.51;60.81;98.89
151;19.85;82.12;99.16
152;22.51;67.69;99.07
