DIA;HUMR;TEMP;PRES_ATM
1;29.39;61.19;97.61
2;26.99;68.94;97.76
3;27.53;60.38;97.95
4;28.67;52.44;97.85
5;30.3;55.19;97.72
6;28.33;68.75;97.89
7;26.47;79.75;97.83
8;26.2;80.94;97.91
9;26.2;74.88;97.95
10;27.47;67.44;98.14
11;27.87;64.12;98.2
12;28.86;57.06;97.9
13;28.73;58.88;97.66
14;27.82;68.56;97.85
15;27.26;70.25;98.0
16;28.05;66.62;98.1
17;28.14;67.88;98.05
18;28.32;68.19;98.07
19;28.62;64.5;98.08
20;29.37;66.12;97.9
21;28.85;65.44;97.79
22;29.65;57.5;97.62
23;28.85;63.19;97.66
24;29.38;63.81;97.79
25;29.81;59.44;97.81
26;29.72;60.94;97.67
27;29.51;62.06;97.53
28;28.4;70.44;97.55
29;28.19;68.44;97.55
30;28.28;70.81;97.49
31;29.02;68.94;97.6
32;29.1;70.12;97.65
33;27.12;80.81;97.64
34;28.44;70.38;97.51
35;29.47;51.44;97.53
36;29.25;56.19;97.58
37;31.04;48.31;97.53
38;31.42;47.31;97.59
39;30.14;58.0;97.61
40;28.96;67.06;97.59
41;28.77;70.25;97.74
42;26.37;82.19;97.99
43;26.75;74.56;98.11
44;27.0;73.0;98.16
45;28.13;69.25;98.18
46;29.61;61.38;98.13
47;28.25;67.81;98.21
48;26.8;75.5;98.06
49;25.71;82.38;97.75
50;27.11;75.62;97.5
51;26.57;80.81;97.66
52;26.21;78.62;97.97
53;26.12;69.5;98.03
54;25.74;53.81;97.97
55;25.44;70.56;97.95
56;26.94;72.12;97.98
57;26.61;80.5;97.95
58;26.84;77.88;97.88
59;26.68;79.38;97.86
60;26.99;79.25;98.01
61;27.11;78.88;98.13
62;27.26;78.44;97.93
63;28.55;67.62;97.76
64;27.65;77.44;97.73
65;26.99;80.75;97.89
66;25.17;86.0;98.03
67;26.85;77.44;97.86
68;27.87;73.69;97.82
69;27.96;69.69;97.74
70;29.12;62.56;97.72
71;29.73;62.25;97.66
72;30.51;58.81;97.66
73;29.03;68.06;97.78
74;28.87;67.0;97.83
75;29.06;63.69;97.92
76;29.03;61.19;97.76
77;29.19;58.81;97.59
78;29.09;62.88;97.75
79;29.9;62.25;97.83
80;29.31;63.69;97.98
81;29.98;61.81;97.73
82;30.48;59.5;97.65
83;30.68;56.25;97.7
84;22.09;76.25;98.25
85;21.34;61.5;98.33
86;22.82;66.19;98.22
87;24.87;71.81;98.13
88;27.08;70.0;98.07
89;27.13;75.38;97.97
90;25.94;80.25;97.88
91;26.4;73.56;97.87
92;26.02;76.31;97.98
93;25.3;76.44;97.95
94;26.6;68.12;97.89
95;27.61;64.62;97.82
96;28.63;62.62;97.82
97;29.14;59.0;97.88
98;29.38;53.56;97.98
99;29.2;50.25;97.98
100;30.15;54.62;97.84
101;30.12;59.69;97.77
102;29.8;57.31;97.99
103;29.32;53.88;98.29
104;27.89;52.56;98.51
105;28.23;52.0;98.61
106;27.5;57.75;98.49
107;27.62;55.75;98.37
108;26.56;62.88;98.47
109;26.31;63.62;98.41
110;27.55;59.75;98.31
111;28.48;52.69;98.19
112;29.88;46.69;98.04
113;29.76;43.62;98.16
114;29.29;38.19;98.24
115;28.86;41.81;98.28
116;28.98;42.69;98.16
117;29.76;48.62;98.11
118;30.32;45.44;98.25
119;30.05;45.38;98.16
120;30.4;45.88;98.17
121;30.99;43.25;98.26
122;29.87;47.19;98.22
123;29.81;47.06;98.1
124;29.27;51.38;98.1
125;29.44;51.31;98.27
126;28.75;56.31;98.43
127;29.49;46.31;98.31
128;29.13;44.19;98.19
129;29.26;46.31;98.13
130;29.19;46.94;97.99
131;23.53;67.88;98.37
132;23.41;53.38;98.41
133;25.54;46.0;98.16
134;28.15;50.44;97.95
135;28.55;52.75;98.01
136;26.64;63.0;98.19
137;26.56;64.38;98.07
138;26.76;66.69;97.92
139;19.15;73.88;98.71
140;15.35;68.38;98.74
141;17.08;60.38;98.46
142;18.52;61.44;98.68
143;18.8;65.81;98.79
144;19.76;66.12;98.83
145;21.4;65.44;98.64
146;23.25;60.75;98.37
147;24.56;56.5;98.4
148;23.67;46.75;98.34
149;24.41;49.44;98.2
150;25.98;52.25;98.13
151;27.02;52.25;97.97
152;19.08;84.69;98.3
153;14.9;84.56;98.96
154;15.03;75.19;99.23
155;15.28;78.88;99.03
156;16.13;71.75;98.75
157;17.52;67.5;98.25
158;15.95;73.0;98.83
159;16.23;68.81;98.6
160;22.79;62.25;98.09
161;25.8;63.44;97.86
162;27.29;59.94;97.84
163;23.88;78.5;98.24
164;17.78;68.94;98.92
