DIA;HUMR;TEMP;PRES_ATM
1;28.3;74.31;97.4
2;28.51;75.31;97.54
3;28.15;78.56;97.62
4;27.24;84.25;97.46
5;27.05;80.5;97.63
6;26.44;76.44;97.71
7;27.98;65.12;97.62
8;29.35;54.06;97.62
9;29.61;56.81;97.64
10;29.25;65.69;97.7
11;30.02;51.38;97.64
12;30.14;47.56;97.72
13;28.8;58.31;97.85
14;26.85;69.88;98.16
15;28.94;64.62;98.18
16;29.71;63.75;97.9
17;30.07;61.56;97.83
18;30.38;56.38;97.98
19;30.09;57.25;98.14
20;28.98;60.5;98.07
21;28.17;64.62;97.95
22;29.65;56.81;97.87
23;31.11;52.75;97.86
24;30.85;53.0;97.84
25;29.91;60.25;97.76
26;29.91;59.19;97.71
27;29.03;63.69;97.75
28;26.54;77.81;97.63
29;26.79;76.69;97.54
30;28.04;70.5;97.54
31;28.51;69.5;97.61
32;27.74;66.75;97.73
33;28.05;67.31;97.71
34;28.22;68.12;97.79
35;28.65;63.0;97.83
36;28.4;68.31;97.84
37;27.33;67.56;98.0
38;25.48;69.88;98.11
39;27.87;50.0;98.0
40;28.45;40.31;97.83
41;29.46;56.38;97.63
42;29.9;58.5;97.6
43;30.31;58.62;97.78
44;29.98;53.75;97.84
45;30.07;51.94;97.8
46;30.73;55.94;97.92
47;31.17;56.0;97.91
48;31.11;60.12;97.84
49;29.58;63.19;97.66
50;29.4;57.12;97.6
51;29.54;58.94;97.69
52;27.58;71.94;97.89
53;27.01;77.25;98.1
54;27.94;71.0;97.97
55;28.91;65.19;97.88
56;28.98;65.12;98.13
57;30.61;58.69;98.1
58;30.85;58.25;97.83
59;29.87;63.62;97.83
60;30.39;58.06;97.88
61;29.16;63.75;97.96
62;27.8;67.31;97.97
63;28.69;64.0;97.88
64;28.98;64.38;97.77
65;29.24;60.88;97.73
66;29.55;59.62;97.76
67;28.9;58.31;97.92
68;28.34;60.94;97.93
69;28.83;61.06;97.85
70;26.85;72.62;97.98
71;23.89;88.44;98.05
72;25.37;81.06;98.14
73;24.95;72.0;98.15
74;25.07;55.75;98.16
75;25.33;51.19;98.0
76;27.19;61.94;97.83
77;28.17;69.25;98.02
78;26.39;79.81;98.19
79;26.51;78.44;98.12
80;27.53;70.62;97.97
81;27.26;71.75;97.88
82;28.49;68.38;97.72
83;28.29;71.81;97.74
84;23.58;80.0;98.07
85;24.04;62.38;98.1
86;27.41;57.38;98.08
87;29.56;56.81;98.05
88;29.91;60.19;97.81
89;27.84;67.06;97.91
90;18.08;64.81;98.6
91;20.52;52.94;98.7
92;23.38;58.62;98.38
93;26.74;67.44;98.06
94;28.44;65.69;98.1
95;29.47;57.62;98.08
96;29.4;54.56;98.01
97;30.05;53.88;97.91
98;29.76;56.25;97.99
99;29.76;60.56;97.98
100;28.35;66.5;97.79
101;29.65;60.88;97.63
102;30.0;57.31;97.7
103;28.49;64.56;97.92
104;23.37;64.94;98.33
105;24.44;50.44;98.24
106;26.73;48.31;98.2
107;25.28;49.44;98.38
108;25.64;50.94;98.32
109;27.44;45.69;98.11
110;28.05;49.56;98.1
111;28.73;52.06;97.99
112;28.79;62.31;97.62
113;29.21;62.06;97.74
114;28.94;63.38;97.89
115;29.66;58.81;97.88
116;29.78;58.44;97.87
117;29.29;56.5;97.78
118;29.26;53.25;98.09
119;30.15;45.25;98.26
120;28.26;50.44;98.17
121;28.97;49.88;97.96
122;29.12;52.81;97.99
123;21.04;71.06;98.57
124;18.77;49.69;98.67
125;19.65;46.5;98.6
126;21.93;50.12;98.63
127;23.24;48.06;98.6
128;25.47;44.69;98.3
129;27.26;43.19;98.28
130;28.02;49.19;98.21
131;23.25;67.75;98.42
132;24.95;52.81;98.28
133;27.19;53.62;98.06
134;27.66;58.75;98.03
135;22.87;74.88;98.36
136;19.08;60.75;98.96
137;16.52;41.81;99.23
138;13.94;38.69;99.16
