DIA;HUMR;TEMP;PRES_ATM
1;25.88;89.12;99.17
2;25.82;88.56;99.13
3;25.55;89.69;99.27
4;24.98;90.75;99.37
5;26.06;87.5;99.24
6;26.11;88.19;99.28
7;24.73;92.44;99.35
8;25.86;85.94;99.26
9;24.89;91.12;99.15
10;24.48;94.81;99.27
11;24.87;90.5;99.48
12;24.88;91.06;99.29
13;24.82;91.56;99.11
14;24.93;92.75;99.22
15;25.72;85.94;99.34
16;26.09;85.56;99.45
17;25.58;87.75;99.37
18;24.94;87.31;99.43
19;25.19;88.69;99.44
20;25.26;87.19;99.36
21;25.69;86.44;99.24
22;26.08;86.81;99.07
23;25.79;90.19;99.09
24;26.65;85.44;99.15
25;27.07;85.19;99.18
26;26.8;87.25;99.01
27;25.3;93.75;98.9
28;25.55;91.38;98.85
29;25.04;93.88;98.85
30;26.17;90.94;98.81
31;26.91;89.69;98.89
32;26.39;89.75;99.05
33;25.76;91.81;99.11
34;26.4;88.0;99.01
35;25.92;92.06;99.01
36;26.98;86.62;99.0
37;27.17;82.31;98.94
38;27.09;84.31;98.95
39;26.83;89.94;98.98
40;26.3;89.62;99.04
41;25.65;92.75;99.13
42;25.3;91.06;99.27
43;26.61;85.44;99.31
44;26.29;89.44;99.29
45;26.03;89.94;99.42
46;26.86;81.31;99.45
47;25.78;86.06;99.51
48;26.69;81.12;99.34
49;25.35;90.75;99.08
50;25.99;89.5;98.96
51;25.16;92.69;99.16
52;25.16;92.75;99.3
53;24.71;93.94;99.38
54;25.32;83.81;99.26
55;24.39;89.31;99.19
56;24.6;92.12;99.18
57;25.75;90.94;99.15
58;25.58;90.62;99.15
59;26.43;87.94;99.14
60;26.09;90.38;99.32
61;26.46;85.5;99.41
62;26.04;87.19;99.28
63;26.11;89.0;99.13
64;26.37;88.31;99.11
65;25.67;93.12;99.22
66;25.29;88.81;99.45
67;26.52;86.0;99.26
68;26.49;90.31;99.22
69;25.55;91.06;99.27
70;26.31;89.19;99.19
71;26.2;92.56;99.19
72;25.98;91.94;99.17
73;25.69;93.19;99.27
74;26.4;89.88;99.2
75;25.41;94.06;99.32
76;25.75;89.19;99.23
77;25.44;89.38;99.07
78;25.1;92.31;99.11
79;25.57;91.06;99.17
80;25.98;88.44;99.34
81;26.08;90.12;99.21
82;25.64;92.88;99.15
83;25.12;90.69;99.19
84;25.08;89.38;99.35
85;21.2;85.06;99.61
86;23.08;82.88;99.42
87;24.77;85.06;99.32
88;25.74;83.12;99.31
89;25.62;87.88;99.23
90;25.44;88.62;99.18
91;25.94;86.94;99.13
92;25.68;88.5;99.17
93;25.49;93.12;99.16
94;25.74;89.38;99.17
95;26.01;89.06;99.11
96;26.11;88.94;99.13
97;25.62;92.0;99.19
98;25.27;92.56;99.32
99;26.37;83.81;99.3
100;26.77;83.19;99.2
101;26.55;89.56;99.06
