DIA;HUMR;TEMP;PRES_ATM
1;27.18;87.12;98.87
2;26.97;86.0;98.96
3;26.72;86.56;99.05
4;26.44;87.5;98.9
5;26.12;88.81;98.97
6;26.0;85.19;99.14
7;27.27;81.38;99.05
8;26.97;85.56;99.1
9;25.73;88.5;99.18
10;25.21;88.0;99.21
11;25.95;88.0;99.14
12;25.69;89.88;99.18
13;26.51;85.69;99.2
14;25.63;88.5;99.38
15;26.45;83.81;99.54
16;26.58;82.25;99.36
17;27.04;81.19;99.2
18;26.9;83.38;99.26
19;26.2;87.44;99.38
20;26.31;85.56;99.36
21;25.2;89.25;99.29
22;25.43;88.81;99.25
23;26.24;85.38;99.21
24;26.27;87.25;99.16
25;26.61;84.88;99.17
26;26.65;81.19;99.15
27;27.15;79.88;99.07
28;27.05;83.12;99.01
29;25.48;92.0;98.95
30;24.73;91.25;99.06
31;24.82;93.5;99.07
32;25.35;88.69;99.19
33;25.12;86.19;99.2
34;26.26;86.94;99.16
35;26.51;86.44;99.2
36;26.4;84.94;99.22
37;25.76;83.88;99.4
38;25.03;84.0;99.41
39;26.08;80.69;99.25
40;26.68;82.88;99.09
41;26.26;87.06;98.96
42;25.88;91.44;98.98
43;26.13;89.62;99.09
44;25.27;91.56;99.2
45;26.74;83.19;99.12
46;25.73;89.75;99.2
47;26.37;87.5;99.21
48;26.51;87.19;99.21
49;25.74;89.94;99.05
50;25.48;91.31;98.98
51;26.37;87.81;99.01
52;25.88;88.31;99.19
53;26.34;85.62;99.3
54;26.0;87.56;99.28
55;25.83;88.56;99.19
56;25.91;89.0;99.38
57;26.84;81.81;99.49
58;26.51;84.88;99.32
59;26.23;84.88;99.29
60;26.9;80.88;99.32
61;26.45;86.19;99.3
62;26.3;87.5;99.28
63;25.8;89.88;99.21
64;25.89;87.0;99.11
65;26.0;88.88;99.07
66;25.73;88.44;99.07
67;25.62;88.94;99.13
68;25.33;91.0;99.16
69;25.54;88.56;99.15
70;25.98;88.44;99.2
71;24.34;90.31;99.35
72;25.1;86.06;99.4
73;25.33;90.38;99.28
74;23.93;93.94;99.33
75;25.94;82.25;99.26
76;25.62;86.62;99.13
77;26.51;87.31;99.21
78;25.33;92.88;99.33
79;25.16;90.19;99.39
80;25.32;88.94;99.28
81;26.15;84.06;99.17
82;26.02;89.44;99.14
83;26.02;90.94;99.14
84;26.14;88.19;99.23
85;25.94;87.81;99.25
86;25.63;87.62;99.35
87;26.6;87.31;99.37
88;26.09;91.44;99.2
89;25.83;89.69;99.17
90;22.43;91.5;99.44
91;19.41;89.06;99.8
92;22.54;83.0;99.65
93;25.04;83.19;99.39
94;26.46;84.0;99.32
95;26.15;88.81;99.32
96;26.54;85.94;99.29
97;26.52;88.06;99.25
98;27.08;84.19;99.28
99;26.84;86.19;99.32
100;25.46;91.06;99.23
101;25.54;89.56;99.15
102;25.54;89.69;99.13
103;25.93;90.25;99.18
104;23.98;93.38;99.4
105;23.53;82.5;99.47
106;24.8;83.31;99.4
107;25.61;88.31;99.39
108;25.04;85.06;99.44
109;25.89;84.0;99.4
110;26.63;84.56;99.35
111;25.27;89.56;99.34
112;25.87;88.75;99.08
113;25.98;88.81;99.07
114;26.32;89.25;99.17
115;25.9;90.69;99.27
116;26.48;87.31;99.2
117;26.53;88.0;99.15
118;27.55;82.56;99.26
119;27.0;85.31;99.41
120;26.23;82.88;99.46
121;26.37;82.88;99.31
122;26.21;86.75;99.33
123;25.44;86.5;99.5
124;20.34;80.19;99.84
125;22.13;74.69;99.75
126;22.94;72.69;99.77
127;23.74;74.44;99.76
128;24.91;78.0;99.55
129;26.63;79.19;99.48
130;27.68;76.5;99.4
131;26.15;85.25;99.46
132;24.97;84.19;99.46
133;25.8;83.62;99.33
134;26.94;82.31;99.29
135;26.87;86.56;99.35
136;22.4;89.88;99.77
137;20.16;77.88;100.15
138;18.97;71.44;100.23
139;19.41;65.31;99.96
140;20.46;68.88;99.89
141;21.97;81.94;99.85
142;23.73;84.0;99.77
143;24.76;85.0;99.5
144;25.3;84.12;99.41
145;25.5;83.81;99.52
146;26.35;78.69;99.61
147;26.39;78.75;99.49
148;25.75;83.69;99.34
149;25.83;84.19;99.23
150;26.56;83.19;99.23
151;26.52;80.5;99.22
152;25.53;85.44;99.31
153;25.91;81.38;99.39
154;25.57;79.56;99.54
155;25.57;78.62;99.51
156;25.78;77.38;99.43
157;25.73;80.62;99.35
158;25.45;83.5;99.33
159;25.8;84.25;99.28
160;25.78;85.44;99.33
