DIA;HUMR;TEMP;PRES_ATM
1;25.81;89.06;99.14
2;25.49;91.44;99.14
3;24.94;93.5;99.33
4;25.24;89.75;99.35
5;25.81;87.75;99.22
6;25.82;90.94;99.29
7;24.77;93.44;99.33
8;25.41;89.31;99.24
9;26.0;89.56;99.07
10;24.24;96.31;99.27
11;24.7;91.94;99.55
12;24.95;90.81;99.29
13;24.2;93.12;99.12
14;24.77;92.5;99.25
15;24.9;89.75;99.4
16;25.86;86.56;99.45
17;25.86;87.0;99.38
18;25.18;91.5;99.41
19;25.55;89.12;99.44
20;25.79;89.12;99.33
21;25.43;87.81;99.24
22;25.8;86.44;99.07
23;25.84;88.94;99.08
24;26.71;84.5;99.16
25;26.34;87.81;99.2
26;26.28;88.88;99.02
27;25.51;92.5;98.9
28;25.29;94.5;98.89
29;25.55;93.75;98.88
30;25.51;93.5;98.83
31;26.33;92.56;98.92
32;25.59;94.94;99.08
33;26.16;88.19;99.15
34;26.15;89.19;99.0
35;26.26;90.12;98.98
36;26.97;87.94;98.99
37;26.86;84.56;98.96
38;26.99;87.12;98.96
39;25.78;94.31;98.95
40;26.38;89.12;99.01
41;25.89;90.94;99.14
42;25.63;89.56;99.29
43;26.05;89.81;99.35
44;25.52;89.75;99.34
45;26.23;90.38;99.45
46;26.85;84.0;99.47
47;24.74;90.81;99.56
48;25.19;85.06;99.39
49;25.55;91.5;99.05
50;25.77;91.25;98.94
51;25.26;92.31;99.15
52;25.35;92.06;99.32
53;24.55;92.81;99.39
54;25.37;87.0;99.23
55;24.67;87.44;99.19
56;24.79;93.88;99.2
57;25.79;90.75;99.26
58;25.32;92.56;99.21
59;26.22;88.19;99.15
60;25.72;92.75;99.34
61;25.98;88.62;99.43
62;25.65;92.0;99.28
63;26.05;89.06;99.13
64;25.96;90.88;99.11
65;25.55;94.25;99.24
66;25.2;90.0;99.46
67;25.98;87.31;99.25
68;26.21;89.88;99.22
69;25.52;91.12;99.27
70;26.33;88.12;99.19
71;26.49;90.69;99.18
72;25.98;92.56;99.16
73;25.6;95.12;99.27
74;26.0;90.5;99.22
75;25.15;96.69;99.33
76;25.82;90.12;99.22
77;25.67;89.69;99.06
78;25.02;92.12;99.15
79;25.83;88.19;99.19
80;25.15;93.06;99.36
81;26.15;89.56;99.19
82;26.19;90.12;99.12
83;25.51;87.31;99.19
84;23.4;89.25;99.47
85;20.36;79.94;99.64
86;22.12;81.62;99.46
87;23.71;84.81;99.39
88;25.25;84.25;99.34
89;26.14;85.19;99.23
90;25.15;90.06;99.19
91;25.26;88.62;99.16
92;25.52;86.94;99.2
93;25.55;88.12;99.17
94;25.83;88.44;99.17
95;25.4;90.0;99.12
96;25.62;90.75;99.15
97;25.41;93.94;99.19
98;25.81;90.62;99.32
99;26.23;87.25;99.3
100;26.28;87.69;99.2
101;26.48;86.75;99.06
102;26.55;90.06;99.18
103;25.4;95.06;99.45
104;24.39;88.25;99.7
105;24.12;86.19;99.89
106;24.63;86.12;99.81
107;24.9;87.25;99.62
108;25.04;87.62;99.68
109;25.19;85.88;99.66
110;25.4;87.75;99.57
111;25.25;90.75;99.49
112;25.82;87.31;99.38
113;26.28;85.0;99.46
114;26.13;87.88;99.55
115;26.19;84.88;99.63
116;26.12;86.94;99.51
117;26.5;85.38;99.42
118;26.76;85.56;99.51
119;26.87;84.0;99.51
120;26.25;85.38;99.51
121;25.93;86.75;99.61
122;26.01;85.5;99.57
123;26.15;86.0;99.41
124;25.41;89.0;99.43
125;25.12;91.75;99.54
126;25.62;88.19;99.71
127;25.66;86.69;99.66
128;26.11;84.69;99.52
129;25.33;90.62;99.48
130;26.01;86.81;99.33
131;24.34;91.5;99.57
132;21.94;82.88;99.69
133;24.21;83.94;99.44
134;25.53;85.19;99.31
135;25.65;86.31;99.35
136;25.37;88.94;99.45
137;25.06;87.31;99.36
138;24.55;89.69;99.27
139;22.24;83.5;99.76
140;19.19;66.5;99.93
141;20.42;76.56;99.62
142;22.25;80.5;99.78
143;22.05;76.94;99.91
144;22.45;77.75;99.95
145;23.45;78.75;99.79
146;24.73;80.06;99.62
147;25.54;81.56;99.59
148;25.52;78.81;99.57
149;25.69;76.88;99.44
150;26.45;78.5;99.34
151;26.3;83.81;99.22
152;25.73;89.19;99.27
153;18.54;91.81;99.83
154;16.56;83.19;100.32
155;18.76;78.69;100.18
156;20.6;82.44;99.87
157;21.94;83.25;99.5
158;23.39;84.69;99.76
159;21.33;82.56;99.82
160;23.14;83.44;99.6
161;24.64;84.06;99.45
162;25.63;83.69;99.38
163;26.32;80.75;99.51
164;23.46;79.88;99.83
165;20.76;74.56;100.07
166;17.45;68.75;100.33
167;17.6;69.75;100.39
168;19.0;73.94;100.35
169;20.4;74.31;100.27
170;21.72;77.44;100.0
171;23.56;74.56;99.83
172;24.62;68.75;99.77
173;25.41;68.44;99.7
174;25.75;72.62;99.38
175;26.22;75.81;99.53
176;26.11;71.19;99.48
177;25.67;66.56;99.43
178;26.09;68.19;99.44
179;26.01;66.88;99.45
180;25.82;65.44;99.43
181;25.64;67.94;99.36
182;26.19;65.75;99.27
183;27.05;66.38;99.3
184;26.87;65.25;99.49
185;25.66;60.81;99.47
186;25.79;64.19;99.43
187;26.79;60.31;99.41
188;26.44;59.44;99.44
189;26.24;55.12;99.68
190;20.73;50.88;100.22
191;18.08;49.25;100.37
192;20.33;54.25;99.97
193;23.49;60.5;99.86
194;26.22;59.0;99.72
195;27.6;55.81;99.51
196;28.54;55.94;99.39
197;28.89;58.62;99.59
198;28.83;56.44;99.53
199;28.46;48.38;99.38
200;29.02;45.88;99.26
201;29.73;46.81;99.39
202;22.41;47.12;99.83
203;24.98;39.81;99.6
204;26.9;45.19;99.76
205;23.75;39.62;100.08
206;24.11;43.25;99.99
207;24.67;43.0;99.98
208;26.13;40.75;99.7
209;27.27;42.19;99.47
210;28.9;40.12;99.47
211;29.75;40.81;99.28
212;29.47;45.31;99.5
213;27.84;42.56;99.46
214;28.33;44.06;99.44
215;28.8;47.75;99.3
216;28.05;50.56;99.31
217;18.35;73.5;99.79
218;20.54;79.5;99.86
219;25.58;67.31;99.55
220;27.35;63.5;99.66
221;24.77;40.62;100.01
222;24.26;41.38;99.85
223;26.97;45.38;99.73
224;29.47;44.25;99.5
225;30.21;43.81;99.22
226;30.73;46.69;99.27
227;24.73;50.88;99.86
228;26.25;53.75;99.98
229;28.98;49.06;99.81
230;30.01;45.88;99.5
231;29.38;54.0;99.49
232;18.94;67.31;100.16
233;19.99;59.06;100.19
234;22.7;59.75;99.93
235;25.92;59.31;99.43
236;27.84;62.0;99.38
237;25.81;50.12;99.82
238;22.66;34.88;100.14
239;24.46;44.25;99.73
240;27.01;49.0;99.48
241;28.89;49.62;99.33
242;29.84;52.56;99.2
243;30.88;50.0;99.11
244;30.61;51.44;99.09
245;23.52;60.44;99.65
246;24.16;38.0;99.86
247;23.58;38.38;99.77
248;24.7;38.0;99.58
249;27.01;28.19;99.47
250;28.7;28.88;99.44
251;29.97;33.62;99.36
252;31.14;36.56;99.25
253;31.25;32.38;99.24
254;32.76;30.81;99.13
255;32.73;32.5;98.98
256;33.47;35.88;98.87
257;32.26;45.81;98.93
258;29.72;60.31;99.0
259;27.61;74.44;99.16
260;27.39;75.38;99.21
261;27.9;73.81;99.12
262;28.66;68.0;99.04
263;29.36;68.31;99.16
264;29.58;65.56;99.2
265;30.25;60.31;99.13
266;28.65;67.12;99.09
267;30.64;57.75;99.11
268;30.58;57.56;99.01
269;30.05;61.94;98.96
270;29.79;63.19;99.0
271;27.86;78.19;99.13
272;26.79;83.5;99.09
273;28.17;74.44;98.99
274;29.69;68.19;99.0
275;27.96;77.5;99.16
276;28.07;76.31;99.24
277;27.05;82.81;99.38
278;27.04;76.25;99.41
279;28.48;65.38;99.21
280;28.85;69.38;99.09
281;27.51;78.56;99.09
282;28.94;69.38;99.04
283;28.71;71.31;99.09
284;26.24;88.25;99.29
285;26.57;81.69;99.28
286;27.33;78.69;99.36
287;27.76;77.12;99.3
288;27.08;81.38;99.2
289;28.28;75.19;98.92
290;27.68;78.75;98.96
291;28.55;75.19;99.0
292;27.29;82.88;99.02
293;26.82;82.69;99.07
294;27.89;77.06;98.98
295;26.12;88.69;99.06
296;26.78;88.31;99.1
297;25.76;92.06;99.29
298;26.27;86.5;99.26
299;27.33;80.69;99.18
300;26.76;85.38;99.23
301;27.3;82.75;99.11
302;27.07;86.19;99.09
303;26.68;89.31;99.17
304;26.24;89.25;99.3
305;25.6;91.06;99.25
306;26.71;86.88;99.03
307;26.73;85.0;98.93
308;26.55;86.94;99.0
309;25.98;91.06;99.1
310;25.95;89.62;99.1
311;26.37;88.81;99.21
312;25.8;86.12;99.2
313;26.69;83.19;99.08
314;27.05;87.5;98.96
315;26.86;88.62;98.87
316;26.77;89.38;98.92
317;26.04;94.25;99.04
318;25.9;93.0;99.13
319;26.01;90.81;99.23
320;25.84;88.12;99.2
321;26.36;91.0;99.04
322;26.16;94.12;99.18
323;23.2;91.75;99.38
324;25.4;86.38;99.29
325;26.08;87.5;99.21
326;26.36;91.06;99.04
327;26.15;91.69;98.92
328;25.57;95.0;99.13
329;25.38;93.12;99.14
330;26.05;88.25;99.07
331;26.01;92.0;98.97
332;25.98;90.12;99.05
333;25.69;91.75;99.07
334;25.9;93.06;98.97
335;25.52;93.75;99.0
336;23.94;90.69;99.26
337;24.91;82.69;99.22
338;26.19;80.94;98.97
339;26.12;90.81;98.98
340;25.73;94.19;99.29
341;25.42;93.62;99.6
342;24.4;85.88;99.54
343;26.48;82.88;99.3
344;27.32;85.94;99.42
345;27.05;88.88;99.41
346;26.94;88.94;99.38
347;25.8;92.19;99.36
348;25.9;89.75;99.28
349;25.55;92.56;99.59
350;25.49;89.94;99.59
351;26.02;89.69;99.47
352;25.01;92.94;99.52
353;25.34;88.19;99.49
354;25.29;91.12;99.29
355;25.15;94.19;99.27
356;26.23;87.31;99.33
357;25.05;93.75;99.36
358;25.3;90.75;99.3
359;25.94;88.0;99.21
360;26.08;88.69;99.16
361;25.99;91.81;99.01
362;26.26;88.94;99.06
363;26.0;89.94;99.1
364;25.4;91.31;99.11
365;25.64;89.31;99.18
366;26.39;87.75;99.26
367;25.99;88.5;99.31
368;26.29;89.88;99.23
369;26.2;91.19;99.4
370;25.76;92.0;99.33
371;26.73;87.31;99.16
372;26.0;91.31;99.15
373;24.92;91.62;99.38
374;23.9;94.06;99.29
375;25.13;86.75;99.24
376;25.98;82.44;99.47
377;25.47;90.25;99.43
378;25.61;88.06;99.4
379;26.08;86.56;99.39
380;26.22;88.25;99.39
381;25.11;92.94;99.55
382;25.67;88.12;99.54
383;25.97;87.25;99.54
384;25.27;87.06;99.57
385;25.79;85.19;99.5
386;26.35;84.88;99.47
387;25.85;89.0;99.57
388;27.16;82.0;99.45
389;28.22;77.62;99.37
390;26.43;89.94;99.33
391;26.05;87.75;99.36
392;26.8;84.69;99.18
393;25.5;94.56;99.23
394;24.49;92.94;99.42
395;24.48;92.25;99.43
396;24.76;92.31;99.47
397;24.59;92.56;99.52
398;24.02;93.5;99.6
399;26.21;87.5;99.53
400;25.84;91.06;99.5
401;26.95;84.62;99.41
402;26.44;88.31;99.3
403;26.26;86.06;99.14
404;26.68;86.38;99.06
405;26.93;87.19;99.12
406;26.5;89.44;99.09
407;26.11;90.81;99.15
408;26.01;93.19;99.43
409;24.21;85.19;99.5
410;25.62;88.38;99.35
411;26.46;89.25;99.36
412;25.06;94.25;99.4
413;25.46;91.62;99.32
414;25.51;90.75;99.3
415;26.39;89.75;99.24
416;25.49;92.62;99.33
417;26.7;86.62;99.32
418;26.98;86.75;99.38
419;26.3;89.38;99.21
420;24.85;92.44;99.11
421;25.82;89.44;99.12
422;25.12;94.44;99.27
423;24.39;90.94;99.5
424;24.82;89.25;99.58
425;25.89;86.5;99.4
426;25.73;89.62;99.38
427;26.01;89.5;99.28
428;26.07;92.0;99.17
429;25.9;90.94;99.32
430;26.4;90.81;99.35
431;25.37;95.19;99.31
432;26.5;87.25;99.31
433;25.24;92.19;99.49
434;25.85;86.81;99.52
435;25.8;89.31;99.34
436;25.96;90.44;99.25
437;25.39;93.56;99.29
438;25.76;92.38;99.33
439;25.94;92.12;99.33
440;26.25;90.25;99.25
441;25.88;93.0;99.29
442;26.42;88.44;99.31
443;26.09;90.0;99.24
444;25.76;92.81;99.32
445;24.59;88.56;99.5
446;25.2;86.5;99.46
447;26.36;87.38;99.47
448;26.48;89.81;99.36
449;25.92;91.44;99.26
450;26.41;90.25;99.23
451;25.91;90.62;99.43
452;23.98;84.38;99.57
453;24.63;90.75;99.52
454;25.74;92.06;99.45
455;26.87;87.38;99.27
456;26.49;90.19;99.18
457;26.14;93.06;99.23
458;26.1;88.0;99.35
459;25.05;89.0;99.13
460;25.3;89.69;99.27
461;17.89;83.44;99.84
462;21.18;82.19;99.85
463;21.97;83.88;99.7
464;23.37;82.25;99.47
465;25.12;83.75;99.32
466;25.86;86.06;99.45
467;26.39;85.19;99.4
468;25.73;88.94;99.27
469;26.15;87.94;99.27
470;26.12;90.94;99.4
471;25.99;91.81;99.5
472;26.04;89.75;99.31
473;26.72;84.44;99.23
474;26.67;87.44;99.25
475;26.64;87.0;99.29
476;26.04;90.81;99.23
477;26.01;89.38;99.2
478;25.98;91.75;99.36
479;25.52;89.75;99.57
480;26.38;82.62;99.55
481;26.33;80.5;99.51
482;25.76;90.12;99.41
483;25.51;92.06;99.37
484;25.4;90.06;99.3
485;24.98;94.38;99.35
486;24.96;95.0;99.49
487;25.55;88.88;99.28
488;26.49;87.0;99.19
489;26.17;89.81;99.34
490;26.48;88.06;99.4
491;26.93;86.62;99.55
492;27.18;84.19;99.46
493;27.53;83.81;99.33
494;27.15;82.5;99.18
495;26.37;84.56;99.07
496;26.51;87.5;99.17
497;20.54;89.75;99.71
498;21.0;91.88;99.95
499;21.3;79.44;99.99
500;20.01;75.75;99.93
501;20.15;78.06;99.84
502;21.7;77.31;99.53
503;23.74;79.81;99.41
504;25.55;80.06;99.48
505;25.95;80.06;99.37
506;25.69;84.94;99.38
507;25.01;93.38;99.45
508;22.05;87.44;99.62
509;18.23;83.38;99.87
510;21.55;78.81;99.6
511;24.3;81.75;99.39
512;25.7;84.75;99.28
513;26.66;81.31;99.31
514;26.83;80.62;99.38
515;26.47;80.88;99.29
516;26.97;80.0;99.24
517;26.31;85.5;99.25
518;24.11;91.12;99.51
519;21.32;83.0;100.01
520;20.8;75.69;100.07
521;20.87;77.12;99.85
522;23.66;72.0;99.58
523;24.71;73.62;99.53
524;24.58;84.5;99.72
525;25.2;81.94;99.72
526;26.08;77.06;99.55
527;26.23;78.06;99.53
528;26.03;76.62;99.52
529;26.63;74.62;99.53
530;26.06;75.56;99.52
531;26.51;74.44;99.48
532;26.15;77.44;99.68
533;26.56;75.25;99.7
534;26.19;77.81;99.55
535;26.46;78.0;99.72
536;25.51;79.44;99.87
537;25.53;72.81;99.85
538;25.98;70.56;99.9
539;26.41;68.38;99.74
540;26.26;68.75;99.4
541;27.08;72.12;99.18
542;23.79;84.0;99.4
543;23.62;77.81;99.33
544;27.18;74.81;99.33
545;27.21;73.44;99.36
546;28.06;70.12;99.37
547;28.21;66.94;99.47
548;27.31;68.69;99.13
549;27.12;68.75;99.04
550;26.97;65.69;99.23
551;22.69;71.19;99.93
552;19.16;49.56;100.35
553;19.64;51.81;100.19
554;22.51;55.31;99.92
555;25.32;60.44;99.83
556;25.95;63.94;99.65
557;26.69;63.12;99.4
558;27.26;63.69;99.33
559;27.59;63.62;99.39
560;27.73;64.56;99.34
561;28.15;63.12;99.4
562;25.26;73.38;99.68
563;25.55;69.81;99.74
564;27.26;64.56;99.61
565;27.41;65.06;99.6
566;27.73;62.06;99.41
567;26.73;63.19;99.3
568;28.35;62.75;99.31
569;28.99;56.44;99.37
570;24.79;71.06;99.64
571;18.4;65.81;99.95
572;21.55;60.94;100.01
573;22.37;58.5;100.11
574;23.36;54.69;99.83
575;25.4;58.62;99.55
576;26.52;57.12;99.67
577;27.3;53.75;99.51
578;27.28;53.62;99.22
579;24.56;49.88;99.78
580;19.61;28.88;100.42
581;17.45;30.5;100.37
582;18.49;33.5;100.13
583;22.08;37.06;99.81
584;25.23;47.25;99.71
585;27.36;52.25;99.71
586;28.9;49.75;99.57
587;29.62;46.31;99.59
588;29.44;44.31;99.53
589;29.42;43.56;99.43
590;26.93;40.69;99.88
591;22.9;28.19;100.18
592;24.45;34.31;99.81
593;27.65;37.19;99.54
594;29.37;39.12;99.28
595;30.69;41.44;99.34
596;26.66;64.81;99.58
597;26.58;57.31;99.72
598;27.12;45.56;99.78
599;29.18;47.19;99.64
600;28.94;42.25;99.75
601;29.7;40.44;99.49
602;31.34;38.94;99.35
603;31.15;42.25;99.46
604;29.94;50.0;99.6
605;30.74;46.25;99.49
606;32.08;39.12;99.2
607;33.25;37.38;99.14
608;33.09;39.88;99.19
609;31.57;41.56;99.28
610;31.01;39.62;99.12
611;31.8;43.0;99.23
612;31.73;43.62;99.41
613;31.64;34.56;99.49
614;32.32;33.38;99.3
615;33.0;39.31;99.31
616;32.33;42.44;99.47
617;32.7;36.62;99.25
618;32.56;39.56;99.12
619;33.58;39.81;99.06
620;32.07;43.5;99.25
621;28.49;41.75;99.51
