DIA;HUMR;TEMP;PRES_ATM
1;27.0;89.19;98.84
2;26.88;87.81;98.93
3;25.92;92.38;99.04
4;26.05;91.44;98.89
5;25.21;94.44;99.0
6;26.86;80.81;99.13
7;27.05;81.06;99.05
8;27.09;84.31;99.09
9;25.75;89.94;99.14
10;25.68;88.5;99.19
11;26.08;88.19;99.12
12;27.21;85.5;99.12
13;27.24;84.06;99.17
14;25.63;89.81;99.4
15;26.16;85.5;99.55
16;25.94;87.25;99.36
17;26.53;80.25;99.22
18;26.72;85.0;99.29
19;26.04;92.81;99.41
20;25.22;92.31;99.42
21;24.73;92.56;99.3
22;25.37;89.44;99.26
23;25.19;89.75;99.26
24;26.08;85.06;99.22
25;26.74;84.25;99.15
26;25.99;87.69;99.14
27;26.76;83.06;99.1
28;26.02;88.62;99.02
29;25.24;91.06;98.93
30;24.53;94.69;98.99
31;25.41;87.88;99.08
32;24.88;91.88;99.2
33;25.88;86.94;99.16
34;25.99;87.12;99.18
35;26.35;86.75;99.21
36;25.83;87.69;99.25
37;23.9;93.06;99.45
38;24.13;86.38;99.44
39;25.73;83.69;99.25
40;26.37;87.38;99.1
41;26.05;90.0;98.92
42;25.72;88.06;98.98
43;26.61;84.12;99.12
44;24.33;93.69;99.21
45;26.05;86.25;99.11
46;25.92;91.25;99.21
47;25.68;91.25;99.28
48;26.12;90.0;99.21
49;25.35;95.5;99.04
50;26.16;87.38;98.96
51;26.75;86.06;98.98
52;25.98;88.81;99.17
53;25.51;89.81;99.34
54;25.24;91.75;99.29
55;25.93;89.5;99.19
56;26.3;89.38;99.38
57;26.37;85.0;99.49
58;26.21;87.06;99.29
59;26.26;86.88;99.28
60;26.07;83.0;99.35
61;25.61;87.94;99.32
62;25.48;91.69;99.3
63;25.81;88.94;99.21
64;25.89;89.19;99.09
65;25.65;90.25;99.07
66;25.2;90.94;99.08
67;25.6;91.19;99.15
68;25.08;90.31;99.18
69;25.28;89.5;99.15
70;26.01;89.38;99.23
71;22.91;92.0;99.38
72;25.05;87.75;99.39
73;24.4;93.62;99.32
74;23.98;92.38;99.42
75;25.51;85.31;99.29
76;24.65;90.5;99.18
77;25.2;91.81;99.28
78;25.65;92.5;99.4
79;25.07;93.5;99.42
80;24.17;91.5;99.32
81;25.48;87.5;99.19
82;26.26;87.94;99.13
83;25.73;92.31;99.13
84;25.47;90.94;99.31
85;24.25;87.62;99.34
86;25.41;85.88;99.37
87;26.78;86.81;99.37
88;26.36;89.75;99.2
89;25.79;91.25;99.19
90;19.62;90.19;99.62
91;19.69;85.5;99.84
92;22.34;81.94;99.68
93;24.93;83.69;99.4
94;26.4;84.81;99.35
95;26.27;90.5;99.36
96;26.76;84.44;99.32
97;26.65;86.94;99.25
98;26.53;87.12;99.3
99;26.35;87.62;99.32
