DIA;HUMR;TEMP;PRES_ATM
1;25.28;90.94;98.58
2;25.21;91.56;98.55
3;25.26;91.88;98.65
4;24.08;96.31;98.8
5;25.39;91.0;98.66
6;25.44;94.62;98.66
7;24.42;96.88;98.77
8;25.2;92.25;98.73
9;25.32;93.5;98.62
10;24.28;95.69;98.71
11;24.53;96.44;98.81
12;23.9;95.81;98.68
13;24.74;92.81;98.48
14;24.11;96.19;98.64
15;24.33;94.25;98.78
16;24.85;91.06;98.9
17;24.81;89.56;98.82
18;24.97;90.56;98.85
19;25.32;93.19;98.87
20;24.89;90.31;98.83
21;24.58;93.56;98.68
22;25.26;90.5;98.52
23;25.59;90.38;98.53
24;25.37;93.5;98.6
25;25.8;92.56;98.61
26;26.38;90.0;98.45
27;25.94;92.0;98.28
28;25.19;95.44;98.2
29;25.3;96.19;98.2
30;26.03;94.38;98.2
31;25.77;95.81;98.3
32;25.63;96.06;98.45
33;26.26;94.31;98.49
34;25.48;95.94;98.45
35;25.96;91.25;98.46
36;26.6;89.38;98.46
37;26.69;86.5;98.42
38;26.06;89.5;98.43
39;24.74;95.38;98.47
40;25.11;94.75;98.47
41;25.27;95.31;98.53
42;25.43;93.06;98.64
43;25.15;94.69;98.74
44;24.39;97.19;98.81
45;24.79;93.56;98.87
46;25.3;90.12;98.96
47;25.79;90.06;98.94
48;24.92;92.62;98.8
49;24.78;92.0;98.52
50;25.08;93.44;98.4
51;25.41;91.69;98.56
52;25.16;92.88;98.7
53;24.47;95.5;98.82
54;25.05;88.94;98.73
55;25.12;89.75;98.63
56;24.44;90.38;98.69
57;24.19;94.5;98.65
58;23.84;98.12;98.62
59;25.11;94.56;98.56
60;24.47;97.94;98.76
61;25.08;91.69;98.87
62;25.56;91.94;98.72
63;25.58;93.31;98.58
64;25.35;91.62;98.58
65;25.37;93.69;98.68
66;24.86;92.0;98.89
67;25.62;90.75;98.72
68;26.06;91.62;98.64
69;25.67;93.25;98.67
70;25.79;92.88;98.61
71;25.76;94.5;98.61
72;25.99;93.88;98.58
73;25.1;95.19;98.72
74;25.83;91.12;98.63
75;25.22;96.31;98.7
76;25.55;92.12;98.65
77;25.12;94.06;98.47
78;25.94;89.94;98.5
79;25.19;93.69;98.62
80;25.17;94.81;98.8
81;25.2;93.38;98.66
82;25.93;89.06;98.56
83;25.7;87.69;98.56
84;25.42;91.25;98.74
85;20.09;87.31;99.13
86;21.95;85.62;98.9
87;23.94;88.88;98.78
88;25.19;88.69;98.77
89;25.5;91.75;98.67
90;24.58;97.38;98.62
91;24.96;92.19;98.57
92;25.7;93.38;98.58
93;24.91;97.44;98.58
94;25.46;93.44;98.58
95;24.78;96.0;98.54
96;25.84;94.0;98.54
97;25.67;93.25;98.61
98;25.08;94.0;98.74
99;25.45;91.0;98.75
100;25.0;94.0;98.67
101;25.49;93.0;98.5
102;25.3;97.31;98.56
103;24.63;97.0;98.87
104;24.19;92.38;99.1
105;24.36;88.25;99.3
106;24.19;89.25;99.24
107;24.73;89.06;99.05
108;24.89;89.0;99.1
109;25.23;89.56;99.05
110;25.22;90.38;98.95
111;25.55;89.69;98.88
112;25.36;92.0;98.81
113;25.68;92.25;98.89
114;25.87;91.69;98.97
115;24.96;91.19;99.1
116;24.95;89.06;98.97
117;26.36;88.25;98.84
118;25.55;94.19;98.93
119;24.97;94.81;98.96
120;24.94;94.5;98.95
121;24.8;95.38;99.02
122;25.0;93.38;99.0
123;25.62;91.0;98.81
124;25.05;93.81;98.82
125;24.51;95.69;98.95
126;24.64;94.06;99.15
127;24.84;92.12;99.1
128;25.65;88.56;98.95
129;25.28;92.38;98.89
130;25.68;90.75;98.76
131;25.58;93.31;98.86
132;21.31;92.06;99.12
133;22.83;89.75;98.92
134;24.67;90.38;98.75
135;25.37;90.62;98.76
136;25.47;90.75;98.84
137;24.52;95.88;98.77
138;24.9;93.06;98.66
139;23.78;90.81;99.06
140;19.08;84.62;99.35
141;19.47;84.88;99.06
142;20.99;87.44;99.2
143;22.07;86.62;99.34
144;22.05;87.69;99.39
145;22.48;88.62;99.24
146;23.59;86.88;99.07
147;24.12;88.44;99.02
148;24.56;90.44;98.99
149;25.0;92.44;98.85
150;25.15;95.38;98.76
151;25.57;92.69;98.62
152;25.26;93.31;98.64
153;21.28;93.75;99.12
154;15.9;92.75;99.73
155;17.9;88.38;99.64
156;20.23;87.5;99.32
157;21.62;88.69;98.96
158;22.8;91.06;99.14
159;22.87;90.62;99.18
160;22.6;90.0;99.06
161;24.59;88.25;98.91
162;24.85;93.38;98.8
163;23.87;88.38;98.96
164;24.45;90.19;99.14
165;21.19;83.81;99.44
166;19.09;81.88;99.67
167;18.0;81.62;99.8
168;18.51;84.75;99.78
169;19.4;86.38;99.72
170;20.62;85.69;99.47
171;21.62;85.19;99.3
172;21.85;88.19;99.23
173;22.77;88.62;99.16
174;23.98;90.12;98.83
175;24.27;91.38;98.94
176;24.21;92.44;98.91
177;24.5;90.5;98.85
178;24.37;90.31;98.87
179;24.26;89.06;98.92
180;24.14;88.94;98.87
181;24.51;88.12;98.79
182;24.57;89.44;98.72
183;25.23;89.19;98.72
184;25.1;89.44;98.89
185;24.97;86.44;98.9
186;24.58;87.31;98.88
187;24.42;88.25;98.86
188;24.16;87.81;98.88
189;24.19;88.44;99.08
190;21.76;83.62;99.48
191;16.81;73.06;99.77
192;16.65;80.19;99.48
193;19.05;85.38;99.37
194;21.32;88.12;99.25
195;23.58;89.06;99.05
196;24.59;90.38;98.91
197;24.81;90.5;99.06
198;24.76;90.06;99.06
199;24.83;89.88;98.89
200;25.23;88.38;98.76
201;24.68;92.81;98.84
202;21.01;95.19;99.18
203;19.65;87.5;99.15
204;21.92;89.12;99.22
205;20.75;83.75;99.49
206;19.61;84.69;99.46
207;20.05;85.62;99.45
208;20.17;87.0;99.25
209;22.05;90.25;99.0
210;23.4;89.5;98.96
211;24.58;89.75;98.77
212;24.56;91.69;98.96
213;22.55;88.88;99.02
214;23.62;89.06;98.94
215;24.23;89.44;98.77
216;24.6;89.25;98.68
217;19.3;90.25;99.19
218;17.87;95.31;99.37
219;21.37;88.75;99.1
220;22.64;93.44;99.12
221;22.15;83.69;99.41
222;20.07;81.5;99.35
223;21.18;87.25;99.28
224;23.55;89.12;99.06
225;24.87;89.31;98.77
226;25.52;90.38;98.73
227;20.95;93.38;99.33
228;21.41;87.69;99.5
229;23.15;85.88;99.35
230;24.28;86.62;99.03
231;25.13;89.56;98.93
232;19.75;94.88;99.4
233;17.5;84.19;99.64
234;19.6;85.44;99.41
235;22.37;87.62;98.95
236;23.92;87.81;98.82
237;24.57;87.38;99.11
238;20.54;70.56;99.54
239;19.96;78.19;99.29
240;22.15;85.12;99.03
241;24.19;84.31;98.88
242;25.57;85.56;98.7
243;26.44;85.12;98.6
244;26.48;82.69;98.55
245;23.44;93.62;98.92
246;20.76;72.62;99.28
247;20.6;80.81;99.21
248;20.35;80.31;99.08
249;21.15;77.81;99.02
250;21.95;78.75;98.98
251;23.54;79.06;98.9
252;24.89;78.62;98.78
253;25.51;80.19;98.77
254;25.74;73.75;98.7
255;26.49;73.88;98.55
256;27.45;79.12;98.4
257;26.94;81.25;98.44
258;25.46;94.25;98.5
259;25.08;91.38;98.63
260;24.9;94.56;98.61
261;26.27;86.19;98.56
262;26.65;84.56;98.48
263;26.87;84.44;98.59
264;26.99;84.88;98.63
265;26.08;89.81;98.63
266;26.1;86.81;98.56
267;26.44;85.0;98.63
268;27.2;82.38;98.5
269;28.3;74.81;98.44
