DIA;HUMR;TEMP;PRES_ATM
1;27.25;87.88;98.31
2;27.14;87.25;98.36
3;26.51;88.06;98.47
4;26.28;89.0;98.31
5;25.75;92.88;98.38
6;25.76;89.06;98.58
7;26.25;88.25;98.52
8;25.85;93.06;98.56
9;25.29;93.31;98.6
10;25.29;89.19;98.62
11;25.81;90.62;98.59
12;25.65;92.31;98.62
13;25.71;93.25;98.67
14;25.23;95.56;98.81
15;25.65;88.88;98.99
16;25.55;89.38;98.81
17;25.93;89.06;98.64
18;25.8;91.25;98.71
19;25.39;92.81;98.84
20;25.75;88.81;98.82
21;23.8;96.31;98.72
22;25.39;90.56;98.65
23;25.35;92.56;98.64
24;25.02;95.81;98.66
25;25.05;91.75;98.66
26;25.87;87.31;98.61
27;26.39;87.06;98.5
28;26.23;90.0;98.44
29;25.3;92.62;98.44
30;24.9;90.94;98.51
31;25.32;91.62;98.45
32;24.33;96.12;98.63
33;25.23;89.69;98.62
34;26.16;88.81;98.59
35;26.03;89.44;98.64
36;25.18;89.19;98.64
37;24.56;96.31;98.84
38;24.51;90.56;98.89
39;25.08;88.06;98.75
40;26.01;88.75;98.57
41;25.2;91.0;98.43
42;25.43;93.31;98.37
43;25.49;95.75;98.5
44;25.64;91.31;98.66
45;25.69;90.5;98.61
46;25.61;92.56;98.69
47;25.08;96.44;98.68
48;25.62;91.0;98.63
49;25.23;91.56;98.49
50;24.98;94.69;98.41
51;25.99;89.0;98.44
52;25.14;89.06;98.66
53;25.68;89.69;98.71
54;25.72;89.69;98.7
55;25.37;94.06;98.6
56;25.61;94.5;98.81
57;25.48;88.5;98.96
58;25.87;90.12;98.76
59;25.83;90.69;98.72
60;25.82;88.56;98.77
61;26.02;89.12;98.74
62;26.12;89.06;98.71
63;25.78;91.88;98.62
64;25.9;91.0;98.53
65;25.88;90.19;98.47
66;24.67;89.25;98.49
67;24.69;94.25;98.53
68;24.74;94.06;98.61
69;25.51;91.5;98.56
70;25.38;91.62;98.61
71;23.6;98.06;98.79
72;23.48;94.19;98.89
73;24.42;93.31;98.78
74;22.99;95.38;98.88
75;24.84;87.62;98.77
76;25.87;86.62;98.58
77;25.31;91.31;98.67
78;24.94;95.62;98.77
79;24.58;93.81;98.87
80;25.36;89.75;98.72
81;25.27;91.19;98.61
82;25.87;91.69;98.56
83;25.66;91.94;98.55
84;25.64;93.12;98.64
85;24.39;97.25;98.72
86;24.84;91.25;98.82
87;25.98;90.62;98.82
88;25.76;92.56;98.64
89;25.65;92.0;98.56
90;22.47;95.62;98.87
91;19.17;84.94;99.3
92;21.42;83.88;99.14
93;23.91;85.69;98.86
94;25.59;88.38;98.77
95;25.25;94.12;98.78
96;26.08;91.5;98.75
97;25.8;92.56;98.7
98;25.51;92.56;98.75
99;25.24;94.56;98.79
100;25.36;91.38;98.65
101;25.69;90.94;98.57
102;25.77;91.44;98.52
103;25.6;90.19;98.61
104;24.05;91.25;98.89
105;22.25;85.31;98.99
106;23.48;85.44;98.87
107;25.01;88.5;98.84
108;24.55;87.69;98.92
109;24.75;88.5;98.87
110;25.98;87.19;98.81
111;24.76;94.44;98.78
112;25.8;91.19;98.51
113;26.0;90.12;98.47
114;26.15;89.81;98.59
115;26.2;87.81;98.7
116;25.79;94.0;98.64
117;26.09;92.06;98.58
118;26.37;90.75;98.7
119;25.55;93.38;98.9
120;25.03;87.56;98.94
121;25.4;88.44;98.75
122;25.53;89.81;98.75
123;25.23;90.88;98.91
124;18.94;83.0;99.35
125;20.48;82.38;99.24
126;21.7;85.88;99.24
127;22.44;86.44;99.27
128;23.21;85.62;99.07
129;24.57;88.31;98.95
130;24.85;92.44;98.88
131;25.17;93.06;98.89
132;24.25;89.0;98.94
133;24.43;89.25;98.82
134;25.42;90.06;98.75
135;25.68;91.56;98.8
136;22.13;91.62;99.23
137;19.79;78.69;99.64
138;18.76;75.81;99.72
139;18.26;78.12;99.43
140;19.3;76.94;99.36
141;21.51;84.62;99.27
142;23.59;89.75;99.14
143;24.37;90.12;98.89
144;24.71;91.25;98.85
145;24.48;93.5;98.96
146;24.12;92.81;99.08
147;24.9;89.12;98.98
148;25.23;90.06;98.77
149;24.93;88.94;98.68
150;25.15;89.44;98.66
151;24.76;91.31;98.68
152;24.27;94.12;98.77
153;24.83;90.75;98.82
154;24.36;89.75;98.99
155;24.2;88.88;99.0
156;24.97;86.56;98.88
157;25.05;87.25;98.78
158;24.83;87.62;98.78
159;24.86;90.25;98.72
160;24.59;92.44;98.76
161;21.17;94.31;99.26
162;18.73;78.69;99.51
163;16.52;80.75;99.6
164;16.73;76.62;99.54
165;18.77;82.38;99.13
166;21.25;89.62;99.02
167;23.36;89.81;98.95
168;24.4;89.69;98.83
169;23.55;91.5;99.03
170;21.12;86.94;99.13
171;22.91;88.5;99.01
172;23.57;87.0;98.89
173;24.54;88.5;98.81
174;25.05;88.19;98.89
175;24.73;87.25;98.96
176;23.49;88.0;99.18
177;22.12;87.19;99.19
178;22.34;85.75;99.0
179;23.33;86.44;98.99
180;23.37;85.88;99.16
181;22.65;83.75;98.95
182;23.14;82.94;98.87
183;23.88;84.88;98.9
184;24.65;84.44;99.13
185;24.97;86.5;99.06
186;25.08;85.94;98.95
187;26.21;82.06;98.81
