DIA;HUMR;TEMP;PRES_ATM
1;25.08;73.62;87.84
2;21.75;72.5;88.33
3;23.7;56.56;88.46
4;24.08;53.12;88.2
5;26.33;58.81;87.84
6;24.6;65.5;88.47
7;22.1;71.5;88.74
8;23.39;59.19;88.73
9;24.44;48.69;88.59
10;25.0;59.0;88.56
11;25.06;61.69;88.43
12;26.13;60.69;88.05
13;25.27;69.0;87.78
14;19.92;77.56;88.35
15;22.55;60.94;88.53
16;24.3;61.0;88.49
17;25.24;67.75;88.3
18;24.24;72.75;88.39
19;23.38;76.5;88.56
20;24.14;71.62;88.21
21;24.25;73.19;88.01
22;24.58;70.88;87.83
23;25.94;65.69;87.76
24;25.1;71.06;88.01
25;22.31;86.62;88.32
26;22.25;83.62;88.17
27;22.21;84.62;88.05
28;22.76;82.81;88.09
29;21.58;87.56;88.14
30;22.6;87.56;87.93
31;22.83;90.88;88.09
32;20.98;86.38;88.45
33;21.15;85.88;88.44
34;22.05;88.06;88.33
35;21.47;85.75;88.48
36;20.83;81.94;88.5
37;21.47;73.94;88.33
38;22.13;72.69;88.24
39;22.32;76.44;88.19
40;23.55;74.44;87.99
41;23.58;77.75;88.15
42;21.53;88.69;88.47
43;17.4;87.75;88.95
44;19.54;81.31;88.91
45;21.19;76.56;88.9
46;22.34;73.75;88.72
47;22.31;75.12;88.65
48;21.72;77.88;88.44
49;22.95;75.31;87.93
50;23.98;68.5;87.86
51;23.03;77.38;88.18
52;20.69;90.38;88.64
53;20.73;77.12;88.8
54;21.17;73.0;88.56
55;20.44;72.0;88.6
56;20.93;71.06;88.64
57;21.72;67.06;88.58
58;22.14;73.06;88.34
59;22.33;80.81;88.19
60;21.7;82.44;88.44
61;21.69;77.81;88.63
62;23.6;71.5;88.31
63;25.05;66.75;88.07
64;24.45;72.94;88.08
65;20.51;79.31;88.48
66;19.92;75.44;88.66
67;23.05;71.94;88.28
68;24.2;72.25;88.25
69;26.09;66.12;88.08
70;25.69;66.88;88.22
71;25.0;71.5;88.23
72;25.89;66.19;88.04
73;26.19;65.69;87.93
74;23.33;77.44;88.1
75;23.37;75.62;88.24
76;26.26;62.5;87.83
77;25.84;66.88;87.75
78;19.75;75.38;88.46
79;20.85;69.38;88.5
80;21.51;63.25;88.67
81;24.03;64.38;88.07
82;26.1;64.88;87.88
83;24.43;76.75;87.99
84;16.02;79.0;89.17
85;16.73;68.19;88.8
86;17.16;60.75;88.67
87;18.55;69.44;88.63
88;20.88;70.5;88.64
89;20.26;78.38;88.63
90;22.08;66.75;88.38
91;22.2;66.81;88.29
92;18.94;90.44;88.49
93;19.73;81.62;88.49
94;19.29;85.31;88.48
95;21.36;79.69;88.27
96;22.29;78.25;88.29
97;23.35;74.0;88.3
98;23.33;73.5;88.49
99;23.55;71.19;88.52
100;24.33;65.38;88.16
101;23.48;63.0;88.03
102;23.5;70.69;88.48
103;17.45;83.06;89.1
104;18.96;75.0;89.19
105;19.65;68.12;89.33
106;20.25;65.88;89.08
107;20.44;69.94;88.91
108;20.89;64.0;88.93
109;21.05;63.56;88.6
110;21.71;69.12;88.47
111;22.77;71.12;88.5
112;23.62;70.38;88.36
113;23.69;69.06;88.54
114;22.81;70.12;88.75
115;22.79;67.25;88.82
116;22.87;61.31;88.61
117;23.81;62.0;88.42
118;23.93;63.75;88.65
119;23.97;63.81;88.53
120;24.15;63.25;88.5
121;24.16;64.62;88.68
122;23.65;65.69;88.53
123;23.62;66.31;88.31
124;23.01;71.0;88.25
125;21.73;76.75;88.64
126;20.8;78.5;88.85
127;21.9;64.5;88.68
128;22.69;61.62;88.52
129;22.49;65.19;88.36
130;23.4;62.56;88.26
131;17.31;66.0;89.07
132;18.11;52.88;88.81
133;19.03;58.06;88.45
134;21.27;63.94;88.1
135;23.14;54.88;88.35
136;20.01;69.62;88.8
137;19.15;74.88;88.4
138;20.6;76.69;88.37
139;14.27;65.38;89.33
140;15.12;47.5;88.86
141;15.9;49.0;88.61
142;15.83;53.0;89.05
143;15.31;58.88;89.07
144;16.04;60.38;89.14
145;17.22;62.19;88.95
146;18.85;61.5;88.54
147;20.44;61.31;88.5
148;21.1;65.75;88.33
149;21.53;57.06;88.2
150;22.29;55.38;88.24
151;20.37;73.69;88.35
152;11.63;72.19;88.85
153;9.48;62.69;89.29
154;8.95;56.44;89.46
155;11.42;58.69;89.19
156;11.59;59.19;88.98
157;13.59;56.5;88.41
158;12.77;58.38;89.07
159;14.33;55.19;88.51
160;20.91;37.38;87.82
161;25.28;20.62;87.57
162;23.56;24.25;87.85
163;15.28;36.38;88.76
164;11.23;49.56;89.26
165;11.18;61.38;89.31
166;8.34;68.31;89.58
167;10.11;58.06;89.47
168;11.97;50.19;89.48
169;15.0;45.94;89.32
170;15.88;56.75;88.87
171;18.05;56.06;88.67
172;19.79;40.69;88.68
173;19.16;51.56;88.53
174;20.87;44.38;88.16
175;14.99;60.94;88.83
176;16.11;63.56;88.65
177;18.19;72.94;88.48
178;20.58;64.5;88.29
179;21.76;50.44;88.14
180;20.52;45.19;88.48
181;20.63;63.62;88.39
182;22.65;56.44;88.05
183;22.12;48.31;88.39
184;15.72;75.94;88.86
185;17.12;77.31;88.45
186;20.27;64.94;88.33
187;21.85;61.94;88.32
188;18.83;79.62;88.57
189;9.04;87.69;89.26
190;7.39;63.06;89.8
191;8.55;56.0;89.42
192;11.06;48.5;88.84
193;15.05;46.88;88.83
194;20.23;39.75;88.61
195;22.88;39.38;88.12
196;22.4;39.31;88.11
197;19.72;60.0;88.76
198;21.62;61.56;88.46
199;22.8;53.0;88.09
200;22.4;56.69;88.04
201;11.46;73.88;88.96
202;12.01;39.75;89.11
203;19.62;36.94;88.28
204;12.05;36.06;89.36
205;10.39;37.62;89.38
206;11.36;38.88;89.27
207;13.3;38.56;89.16
208;17.09;42.0;88.4
209;17.65;33.44;88.54
210;15.37;51.56;88.76
211;16.32;49.88;88.66
212;14.28;50.88;89.04
213;15.01;49.5;88.72
214;16.72;46.56;88.68
215;18.09;53.38;88.52
216;12.67;61.5;89.03
217;14.31;69.25;88.78
218;17.05;61.5;88.7
219;20.67;46.88;88.05
220;16.26;45.12;89.21
221;13.84;37.12;89.39
222;15.99;38.75;88.96
223;17.84;46.25;88.85
224;20.95;49.81;88.47
225;22.83;51.12;88.17
226;17.26;50.62;88.98
227;15.51;40.0;89.26
228;17.93;44.31;89.14
229;19.37;56.81;88.89
230;22.21;55.56;88.37
231;13.4;67.25;89.13
232;7.13;61.69;89.58
233;10.27;43.94;89.25
234;15.27;38.5;88.83
235;21.4;36.81;87.84
236;17.86;31.75;88.62
237;12.92;43.0;89.44
238;14.75;32.88;89.41
239;17.69;35.56;88.74
240;21.87;38.06;88.26
241;24.3;39.0;88.04
242;25.63;31.44;87.99
243;21.21;45.88;88.46
244;14.43;62.12;88.69
245;12.71;44.75;89.15
246;16.75;25.88;89.17
247;18.23;25.56;89.04
248;19.11;26.81;88.72
249;20.54;23.88;88.45
250;21.99;21.44;88.59
251;22.85;24.12;88.67
252;23.59;26.06;88.63
253;23.95;29.19;88.69
254;24.4;34.25;88.54
255;25.31;37.81;88.22
256;24.28;49.88;88.15
257;19.01;69.69;88.49
258;20.85;67.06;88.24
259;23.53;61.31;88.1
260;21.67;57.94;88.42
261;24.42;52.31;87.94
262;26.61;40.88;87.91
263;24.47;50.69;88.41
264;26.55;53.38;88.26
265;28.3;47.19;87.88
266;28.72;41.56;87.72
267;24.05;58.75;88.22
268;21.83;71.31;88.26
269;23.86;65.75;88.12
270;24.16;66.25;88.24
271;24.56;64.75;88.19
272;26.39;57.88;87.73
273;26.98;50.88;87.73
274;28.51;48.12;87.98
275;21.07;65.56;88.45
276;19.23;74.31;88.7
277;20.03;65.5;88.99
278;20.25;61.31;88.91
279;23.19;52.62;88.46
280;25.43;56.06;88.14
281;28.51;40.88;87.84
282;28.94;44.31;87.89
283;22.23;56.06;88.5
284;19.21;67.44;88.55
285;24.23;58.75;88.18
286;21.17;69.31;88.55
287;20.19;68.69;88.54
288;21.44;59.62;88.4
289;26.8;49.25;87.79
290;28.53;49.88;87.74
291;25.26;65.69;88.01
292;24.21;69.12;88.35
293;22.94;76.62;88.44
294;23.76;72.81;88.29
295;24.31;72.0;88.07
296;21.74;80.38;88.24
297;21.99;71.44;88.47
298;22.48;74.0;88.37
299;22.52;78.88;88.33
300;21.08;80.88;88.51
301;22.06;79.56;88.35
302;23.54;74.81;88.11
303;26.84;65.19;87.86
304;25.7;70.56;88.1
305;20.7;74.5;88.54
306;23.22;67.88;87.94
307;25.73;64.0;87.88
308;24.93;68.38;88.15
309;24.37;73.0;88.22
310;23.62;74.81;88.4
311;20.8;75.94;88.87
312;22.37;64.62;88.62
313;24.1;61.44;88.25
314;26.33;60.38;87.85
315;27.11;64.56;87.59
316;25.89;70.56;87.57
317;24.58;69.12;87.97
318;20.79;73.69;88.51
319;23.11;61.69;88.33
320;25.15;63.75;88.24
321;26.12;63.19;87.91
322;20.5;77.0;88.49
323;20.87;66.75;88.68
324;22.95;68.38;88.49
325;23.96;70.12;88.33
326;25.97;69.0;87.85
327;23.44;62.12;88.21
328;22.64;58.75;88.51
329;22.98;61.25;88.47
330;23.12;66.31;88.33
331;23.58;74.06;88.14
332;24.1;73.5;88.19
333;22.58;75.5;88.33
334;23.44;72.75;88.15
335;22.15;72.62;88.42
336;18.61;78.31;88.78
337;19.87;65.44;88.48
338;22.39;56.94;88.06
339;23.21;69.31;88.17
340;19.73;88.94;88.63
341;17.86;83.31;89.19
342;20.98;71.81;88.73
343;24.05;71.81;88.28
344;25.3;73.12;88.49
345;26.06;67.31;88.27
346;26.0;69.5;88.21
347;26.27;69.62;88.09
348;27.13;63.06;87.91
349;23.36;82.0;88.5
350;24.47;71.94;88.4
351;22.87;74.06;88.24
352;23.57;69.62;88.29
353;21.72;76.81;88.4
354;24.62;67.44;87.93
355;21.28;79.19;88.19
356;20.63;80.12;88.47
357;21.09;85.25;88.51
358;22.24;83.62;88.4
359;23.44;76.0;88.27
360;23.88;75.38;88.18
361;25.61;69.5;87.85
362;24.4;78.69;87.95
363;24.65;77.75;87.96
364;26.17;69.56;87.99
365;23.63;78.81;88.16
366;24.23;77.25;88.09
367;25.53;72.56;87.98
368;25.04;73.12;88.03
369;23.05;77.56;88.27
370;23.89;77.69;88.14
371;25.38;75.25;87.73
372;25.67;71.25;87.85
373;24.38;75.81;87.97
374;24.74;68.5;87.79
375;23.58;77.56;88.02
376;19.15;80.56;88.7
377;22.15;74.31;88.44
378;23.65;74.19;88.26
379;24.07;74.75;88.22
380;24.44;73.88;88.21
381;24.23;75.19;88.3
382;25.88;69.44;88.12
383;19.23;80.38;88.9
384;19.68;75.12;88.96
385;21.83;66.38;88.66
386;24.72;64.31;88.41
387;26.15;63.62;88.4
388;26.8;60.81;88.28
389;27.08;56.69;88.44
390;27.36;54.5;88.37
391;26.48;61.06;88.4
392;26.73;62.0;88.42
393;25.37;68.75;88.37
394;24.5;71.31;88.36
395;24.42;70.56;88.19
396;24.76;66.06;88.25
397;23.37;72.5;88.34
398;21.69;80.81;88.76
399;20.79;86.44;88.95
400;20.54;84.0;88.98
401;21.35;77.81;88.84
402;23.27;70.5;88.55
403;24.31;63.12;88.26
404;24.8;62.12;88.2
405;24.87;68.0;88.19
406;24.48;71.69;88.06
407;25.87;68.25;87.87
408;17.98;83.38;88.96
409;18.72;78.12;88.75
410;20.85;81.56;88.61
411;22.19;72.81;88.68
412;22.38;69.12;88.63
413;22.4;67.44;88.49
414;24.3;64.19;88.21
415;25.34;67.06;88.3
416;26.22;58.44;88.32
417;26.48;56.69;88.33
418;26.54;58.19;88.41
419;26.51;60.69;88.05
420;26.18;65.56;87.67
421;23.27;77.88;87.97
422;18.21;85.25;88.61
423;19.96;70.25;88.7
424;21.18;67.62;88.81
425;22.19;68.12;88.42
426;23.76;70.88;88.42
427;24.47;71.69;88.35
428;25.19;71.94;87.96
429;24.56;79.31;88.32
430;24.39;78.81;88.33
431;25.74;73.12;87.96
432;24.48;79.62;88.06
433;18.3;86.5;88.91
434;17.5;83.69;88.97
435;19.81;80.81;88.53
436;22.03;82.19;88.33
437;21.65;87.06;88.29
438;21.62;84.75;88.41
439;22.27;85.94;88.25
440;21.26;90.44;88.19
441;22.79;83.31;88.15
442;21.45;89.0;88.38
443;22.57;86.56;88.2
444;17.97;91.44;88.7
445;16.64;86.38;88.88
446;18.29;87.0;88.74
447;19.65;84.69;88.72
448;20.8;85.69;88.65
449;20.36;92.75;88.6
450;19.35;90.69;88.73
451;15.68;89.56;89.18
452;17.73;85.94;89.06
453;19.87;87.12;88.86
454;21.11;86.94;88.51
455;21.6;87.38;88.22
456;21.59;90.81;88.18
457;22.11;90.31;88.21
458;20.43;91.81;88.43
459;22.22;82.88;87.79
460;14.9;86.88;88.82
461;14.33;76.0;89.12
462;16.24;77.62;89.07
463;17.54;82.19;88.89
464;17.7;85.38;88.57
465;18.27;86.31;88.49
466;18.55;87.75;88.82
467;17.65;88.88;88.69
468;19.6;84.5;88.27
469;21.88;84.19;88.33
470;21.52;91.31;88.59
471;20.58;89.62;88.86
472;20.25;91.25;88.51
473;21.44;89.31;88.32
474;22.12;87.88;88.21
