DIA;HUMR;TEMP;PRES_ATM
1;27.83;59.75;87.74
2;27.76;66.56;87.77
3;27.83;63.44;88.01
4;26.08;71.56;87.89
5;23.49;72.12;88.29
6;24.02;60.31;88.42
7;25.13;62.94;88.31
8;25.79;57.31;88.39
9;25.01;62.19;88.31
10;25.81;61.94;88.4
11;25.98;57.81;88.44
12;25.74;54.06;88.52
13;26.54;45.12;88.5
14;25.82;54.0;88.39
15;26.02;57.06;88.15
16;27.87;50.06;87.72
17;28.29;52.94;87.65
18;25.69;66.12;88.05
19;25.3;67.94;88.48
20;26.34;59.06;88.45
21;26.34;58.62;88.08
22;26.47;58.56;87.85
23;26.25;62.31;88.03
24;24.84;67.12;88.28
25;26.84;55.88;88.13
26;27.18;59.0;88.01
27;22.63;82.44;88.39
28;19.11;82.56;88.52
29;21.62;66.38;88.35
30;23.31;59.38;88.18
31;22.8;64.56;88.32
32;22.14;69.31;88.44
33;24.37;58.31;88.24
34;24.93;62.56;88.12
35;24.47;74.75;87.99
36;20.55;74.88;88.38
37;19.79;63.31;88.9
38;20.52;58.56;88.85
39;22.12;54.81;88.66
40;23.07;54.19;88.47
41;23.85;54.19;88.05
42;24.92;63.12;88.0
43;19.94;86.06;88.57
44;19.83;76.81;88.67
45;22.83;66.38;88.47
46;23.94;63.5;88.57
47;25.72;61.12;88.48
48;24.66;67.88;88.46
49;23.48;74.38;88.36
50;24.0;68.06;88.1
51;22.4;79.38;88.14
52;23.05;81.12;88.18
53;20.77;91.12;88.58
54;22.73;79.25;88.42
55;24.5;73.19;88.16
56;24.79;73.5;88.49
57;25.54;70.19;88.43
58;27.14;62.94;88.04
59;27.59;62.38;87.99
60;22.44;75.56;88.51
61;24.12;67.94;88.46
62;25.3;64.75;88.37
63;25.58;66.12;88.25
64;25.6;65.81;88.15
65;25.17;69.69;88.02
66;25.8;69.0;87.97
67;23.38;74.75;88.41
68;23.95;69.25;88.29
69;23.97;69.44;88.22
70;17.6;79.0;88.78
71;18.96;70.56;88.75
72;19.17;64.19;88.81
73;19.4;62.38;88.85
74;22.05;57.12;88.8
75;23.01;50.5;88.51
76;23.45;49.75;88.11
77;25.03;55.31;88.35
78;19.51;73.62;88.95
79;19.21;74.75;88.88
80;23.24;62.25;88.47
81;24.55;63.75;88.08
82;25.58;63.5;87.75
83;23.95;65.56;88.1
84;17.86;65.94;88.73
85;20.55;51.69;88.55
86;22.77;50.81;88.54
87;24.48;48.62;88.5
88;25.99;55.06;87.97
89;17.51;63.94;88.61
90;14.36;37.94;89.12
91;16.63;39.81;89.1
92;19.11;48.69;88.62
93;22.98;56.44;88.17
94;23.15;57.75;88.58
95;23.69;68.38;88.57
96;24.14;67.75;88.44
97;24.0;70.62;88.32
98;22.01;83.56;88.42
99;23.36;76.25;88.27
100;24.7;66.94;87.85
101;24.94;62.31;87.82
102;21.9;77.25;88.17
103;18.76;81.69;88.66
104;16.29;73.38;89.08
105;17.84;52.56;88.71
106;18.43;56.5;88.74
107;17.47;62.12;88.93
108;18.48;57.12;88.76
109;20.26;60.81;88.41
110;22.44;65.5;88.29
111;23.89;67.12;88.27
112;25.43;56.81;87.86
113;23.58;50.31;88.15
114;25.01;66.0;87.85
115;25.94;58.88;87.83
116;26.05;60.12;87.82
117;25.48;53.5;87.79
118;23.2;65.06;88.59
119;18.37;59.75;89.07
120;19.94;62.62;88.62
121;20.93;70.75;88.32
122;18.55;83.44;88.45
123;13.78;68.25;89.19
124;16.06;49.12;88.99
125;16.62;45.06;88.88
126;18.07;43.5;89.02
127;18.44;50.19;89.03
128;19.37;61.88;88.54
129;19.83;69.5;88.65
130;19.01;63.94;88.78
131;17.16;60.75;88.93
132;18.47;62.44;88.64
133;20.48;65.31;88.21
134;19.94;72.19;88.5
135;15.81;73.94;88.97
136;12.26;71.25;89.46
137;10.28;71.5;89.55
138;12.07;53.25;89.41
139;12.95;35.88;88.84
140;15.72;35.31;88.6
141;17.93;43.19;88.75
142;18.78;54.56;88.82
143;20.3;55.75;88.38
144;21.86;55.31;88.13
145;22.6;64.0;88.43
146;16.92;81.31;88.83
147;19.55;66.44;88.52
148;20.58;64.56;88.08
149;19.22;60.38;88.23
150;14.33;75.06;88.62
151;12.98;71.94;88.59
152;14.77;81.19;88.37
153;13.19;81.12;88.74
154;15.12;66.0;88.82
155;18.76;65.56;88.32
156;21.97;58.69;88.16
157;18.46;81.81;88.44
158;18.17;71.31;88.48
159;18.59;70.12;88.42
160;18.3;65.75;88.7
161;13.82;72.62;89.44
162;12.93;57.81;89.35
163;12.6;41.19;89.24
164;13.69;28.88;88.94
165;15.23;28.5;88.24
166;17.51;30.31;88.11
167;19.01;32.38;88.07
168;14.64;43.69;88.72
169;12.54;37.25;88.97
170;15.0;38.75;88.51
171;18.45;44.06;88.23
172;21.14;46.19;88.01
173;18.1;69.56;88.28
174;18.03;76.38;88.49
175;20.78;70.5;88.64
176;13.91;77.31;89.25
177;13.92;72.5;88.8
178;17.51;60.19;88.29
179;15.88;55.69;88.82
180;16.75;58.5;88.76
181;19.33;46.56;88.41
182;20.98;43.81;87.9
183;19.39;34.75;88.31
184;19.84;59.19;88.59
185;22.85;48.44;88.39
186;21.64;50.25;88.53
187;22.9;51.12;88.1
188;19.81;54.0;88.43
189;18.87;69.0;88.62
190;23.79;55.0;88.19
191;25.49;35.81;87.81
192;21.64;31.0;88.09
193;13.19;33.19;88.98
194;16.78;52.88;88.18
195;21.54;47.38;87.69
196;21.45;39.56;87.73
197;14.28;43.75;88.55
198;11.64;40.19;89.02
199;17.43;50.31;88.76
200;18.67;48.12;89.07
201;20.22;60.62;88.5
202;22.5;50.19;88.01
203;22.13;50.69;88.28
204;22.18;51.88;88.21
205;22.91;51.12;88.22
206;23.53;54.0;88.41
207;23.16;55.75;88.51
208;23.61;50.75;88.44
209;22.63;50.75;88.52
210;15.19;53.12;89.13
211;16.59;46.56;88.5
212;19.85;48.69;88.38
213;20.96;49.06;88.39
214;22.53;55.56;88.03
215;23.84;53.88;87.9
216;18.85;56.38;88.56
217;15.93;58.06;88.68
218;19.48;64.88;88.19
219;19.44;52.12;88.36
220;15.93;76.56;88.81
221;11.03;64.19;89.58
222;12.55;41.94;89.29
223;14.65;32.44;88.73
224;18.04;35.69;88.25
225;21.18;33.0;88.37
226;24.01;40.62;88.01
227;25.19;29.44;87.83
228;21.01;32.81;88.23
229;23.15;30.06;87.66
230;13.15;30.19;89.27
231;11.62;23.88;89.68
232;13.66;18.12;89.25
233;14.93;15.69;89.17
234;16.27;25.31;88.91
235;19.48;42.25;88.67
236;21.51;44.81;88.63
237;22.26;46.5;88.53
238;23.48;44.75;88.46
239;25.22;38.5;88.15
240;16.56;47.88;89.46
241;13.84;47.5;89.53
242;17.67;34.38;88.92
243;21.09;40.69;88.26
244;24.21;34.81;87.9
245;18.27;36.94;89.06
246;15.29;35.62;89.3
247;15.69;33.5;89.15
248;17.18;29.0;89.17
249;19.23;30.12;88.79
250;23.57;24.38;87.9
251;27.05;15.38;87.52
252;19.92;29.0;88.66
253;15.64;28.44;89.1
254;19.59;32.44;88.45
255;21.68;38.38;88.39
256;17.44;60.0;88.5
257;16.77;49.31;89.08
258;17.51;28.12;89.09
259;19.67;28.75;88.64
260;23.29;38.69;87.98
261;26.77;33.12;87.75
262;24.26;32.94;88.26
263;21.31;59.94;88.27
264;23.15;61.44;88.21
265;16.33;48.25;89.03
266;18.08;28.81;88.78
267;20.59;44.44;88.2
268;24.34;35.94;88.05
269;22.55;44.31;88.34
270;24.5;58.62;88.22
271;16.74;62.44;88.83
272;16.62;54.5;88.89
273;19.13;52.19;88.89
274;21.98;47.56;88.85
275;21.98;57.12;88.85
276;21.97;55.5;88.66
277;25.69;50.19;87.95
278;28.52;39.88;87.54
279;22.19;39.56;88.42
280;21.43;35.5;88.6
281;25.23;38.62;87.79
282;18.58;35.88;88.78
283;18.9;43.06;88.56
284;20.69;57.75;88.57
285;21.28;55.69;88.48
286;23.41;45.38;88.49
287;21.65;45.44;88.98
288;23.08;43.25;88.92
289;21.78;61.94;88.73
290;21.93;72.69;88.45
291;19.65;78.94;88.57
292;22.8;71.94;88.19
293;22.98;58.69;88.15
294;21.58;49.0;88.45
295;22.62;49.12;88.56
296;22.91;55.31;88.74
297;24.5;51.31;88.51
298;26.04;55.19;88.12
299;27.99;53.69;87.75
300;23.94;46.06;88.42
301;25.15;47.56;88.03
302;27.69;52.56;87.63
303;29.31;47.12;87.35
304;14.88;38.62;89.19
305;13.44;29.38;89.78
306;15.19;25.12;89.58
307;17.59;22.5;89.24
308;19.52;24.56;88.89
309;21.22;31.88;88.67
310;22.88;32.75;88.7
311;24.47;30.62;88.67
312;25.01;35.06;88.53
