DIA;HUMR;TEMP;PRES_ATM
1;26.75;79.19;97.45
2;24.1;90.5;97.69
3;25.4;80.0;97.89
4;26.34;76.5;97.75
5;27.21;72.25;97.54
6;26.24;81.12;97.75
7;26.37;80.12;97.74
8;27.51;69.56;97.78
9;27.64;69.25;97.72
10;26.36;78.44;97.93
11;24.65;86.56;98.09
12;26.27;75.62;97.73
13;26.4;78.81;97.46
14;23.99;90.06;97.77
15;24.51;78.0;97.98
16;26.06;80.75;97.98
17;26.15;82.5;97.88
18;26.9;79.31;97.89
19;26.8;81.81;97.96
20;26.65;80.94;97.79
21;27.01;78.38;97.66
22;27.05;75.38;97.48
23;26.88;75.94;97.5
24;27.16;78.06;97.64
25;27.03;80.44;97.7
26;26.9;80.56;97.55
27;26.44;83.62;97.42
28;26.69;81.69;97.42
29;26.85;79.88;97.4
30;26.8;82.69;97.32
31;27.15;84.31;97.45
32;27.51;80.06;97.6
33;26.35;79.38;97.64
34;26.59;82.56;97.46
35;27.62;71.62;97.47
36;26.91;63.44;97.55
37;27.5;64.56;97.48
38;28.09;68.81;97.48
39;28.57;70.88;97.46
40;27.29;76.5;97.43
41;28.49;69.12;97.56
42;27.72;70.81;97.78
43;26.67;71.06;97.99
44;25.66;68.69;98.1
45;28.19;63.31;98.09
46;28.4;64.0;97.99
47;28.05;68.69;98.04
48;27.7;67.81;97.86
49;28.81;63.44;97.45
50;27.72;72.12;97.29
51;27.01;76.94;97.53
52;26.6;77.19;97.84
53;26.79;68.06;97.93
54;27.46;52.94;97.78
55;27.28;54.62;97.75
56;27.58;57.31;97.83
57;28.47;62.31;97.79
58;28.24;67.81;97.69
59;28.64;67.88;97.62
60;27.92;73.12;97.83
61;28.4;67.94;97.94
62;28.8;66.12;97.74
63;30.08;60.94;97.54
64;29.66;62.12;97.52
65;29.07;64.75;97.72
66;27.87;59.44;97.95
67;29.48;59.56;97.65
68;30.22;59.5;97.61
69;29.83;60.44;97.58
70;30.37;57.69;97.54
71;30.52;58.88;97.55
72;30.68;60.0;97.49
73;29.34;62.81;97.63
74;29.08;65.0;97.59
75;28.43;71.38;97.74
76;28.7;66.19;97.57
77;29.51;63.25;97.36
78;26.96;70.75;97.66
79;29.42;59.31;97.69
80;26.22;71.62;97.95
81;28.79;64.06;97.55
82;29.71;62.19;97.44
83;28.33;65.19;97.55
84;22.49;69.62;98.27
85;21.48;50.62;98.27
86;23.56;55.56;98.05
87;26.54;59.19;97.93
88;27.98;65.25;97.88
89;26.26;77.88;97.82
90;27.36;70.81;97.68
91;27.66;64.88;97.65
92;27.49;64.75;97.77
93;26.94;69.0;97.76
94;26.7;73.19;97.72
95;27.67;70.75;97.62
96;28.13;69.44;97.65
97;28.6;68.75;97.69
98;28.49;68.31;97.83
99;29.62;61.94;97.8
100;29.29;60.19;97.66
101;29.16;65.12;97.53
102;29.3;67.88;97.74
103;25.58;74.56;98.21
104;25.38;60.25;98.47
105;25.38;61.38;98.57
106;26.1;64.44;98.38
107;26.37;64.44;98.21
108;26.42;63.0;98.26
109;26.35;66.75;98.16
110;26.34;73.31;98.06
111;27.66;66.62;97.98
112;28.12;64.5;97.87
113;27.35;69.5;98.0
114;27.44;66.19;98.13
115;27.59;56.25;98.15
116;27.37;54.25;97.99
117;28.65;62.56;97.89
118;28.63;62.81;98.07
119;28.83;56.12;97.99
120;29.19;57.19;97.96
121;29.34;57.62;98.09
122;29.26;56.88;98.02
123;28.91;58.88;97.88
124;27.19;71.25;97.91
125;27.14;71.62;98.08
126;26.44;70.5;98.29
127;27.64;60.94;98.15
128;27.98;60.69;98.01
129;28.15;58.19;97.92
130;28.28;61.44;97.77
131;20.76;80.56;98.37
132;22.08;66.06;98.28
133;23.98;66.25;97.96
134;26.36;67.31;97.72
135;26.84;70.94;97.82
