DIA;HUMR;TEMP;PRES_ATM
1;27.27;85.56;97.25
2;27.71;83.88;97.28
3;26.62;87.12;97.42
4;26.96;85.44;97.28
5;26.45;88.44;97.48
6;27.36;77.12;97.62
7;28.4;71.5;97.54
8;28.65;71.56;97.57
9;28.15;72.56;97.56
10;26.94;79.31;97.64
11;28.39;71.81;97.58
12;27.89;64.5;97.66
13;28.74;57.94;97.69
14;25.66;79.44;97.94
15;27.04;71.5;97.99
16;27.96;71.12;97.69
17;28.1;67.81;97.6
18;28.17;68.75;97.76
19;28.13;71.12;97.98
20;27.73;71.94;97.92
21;27.52;69.12;97.74
22;27.16;71.06;97.68
23;27.94;70.12;97.71
24;29.31;65.0;97.7
25;29.68;64.25;97.61
26;29.52;64.06;97.51
27;29.15;68.62;97.58
28;25.83;84.19;97.52
29;27.9;63.88;97.44
30;29.03;60.12;97.36
31;27.98;73.19;97.47
32;26.13;81.69;97.66
33;27.88;70.12;97.56
34;27.56;72.06;97.59
35;27.85;70.62;97.6
36;26.73;78.25;97.71
37;23.95;67.5;98.09
38;24.84;63.5;98.07
39;26.62;57.38;97.87
40;27.69;62.19;97.69
41;28.19;66.88;97.42
42;28.14;71.69;97.4
43;26.3;77.0;97.74
44;26.47;68.75;97.81
45;29.02;60.81;97.66
46;27.69;73.38;97.8
47;28.99;69.44;97.8
48;29.14;72.56;97.71
49;28.41;74.62;97.54
50;28.08;72.25;97.43
51;27.12;74.94;97.5
52;25.62;87.62;97.64
53;25.95;86.94;97.91
54;26.04;83.38;97.85
55;26.77;79.12;97.72
56;27.2;79.69;97.94
57;27.73;79.44;97.97
58;28.07;75.88;97.7
59;28.15;75.19;97.65
60;27.94;74.38;97.77
61;28.27;69.56;97.78
62;26.2;82.12;97.8
63;27.54;75.44;97.68
64;28.08;73.62;97.53
65;26.76;77.56;97.51
66;28.0;71.75;97.51
67;26.74;79.44;97.74
68;25.79;81.5;97.73
69;26.05;79.69;97.69
70;23.18;86.75;97.95
71;24.23;73.5;98.01
72;25.23;75.0;98.03
73;25.65;64.19;98.02
74;25.12;61.69;98.06
75;25.68;52.81;97.85
76;27.22;63.25;97.62
77;27.48;73.31;97.81
78;25.61;83.12;98.09
79;23.8;81.06;98.13
80;26.53;69.75;97.84
81;27.77;69.94;97.65
82;27.94;70.81;97.51
83;26.54;80.56;97.55
84;20.81;82.12;98.1
85;22.44;64.62;97.99
86;24.94;67.75;97.95
87;27.72;69.06;97.91
88;28.39;70.38;97.63
89;23.37;78.19;97.88
90;16.5;66.12;98.6
91;17.93;63.12;98.65
