DIA;HUMR;TEMP;PRES_ATM
1;23.77;92.44;93.8
2;23.96;89.19;93.81
3;21.59;91.56;94.14
4;21.76;91.56;94.16
5;22.79;91.69;93.94
6;22.93;96.81;94.03
7;23.33;92.38;94.15
8;23.71;84.75;94.15
9;23.91;84.0;94.05
10;23.1;90.81;94.09
11;22.06;95.06;94.34
12;22.61;93.44;94.07
13;23.01;91.12;93.76
14;22.06;96.06;93.92
15;22.03;94.31;94.16
16;22.75;91.69;94.27
17;23.08;94.25;94.18
18;22.69;93.69;94.23
19;22.8;95.75;94.28
20;23.22;90.62;94.16
21;23.52;89.44;94.03
22;23.74;88.38;93.86
23;23.36;89.88;93.89
24;23.56;91.25;93.99
25;23.81;89.88;94.04
26;23.73;90.62;93.88
27;22.87;96.0;93.72
28;22.99;98.81;93.64
29;22.83;98.19;93.64
30;23.67;95.62;93.6
31;23.83;96.81;93.73
32;23.34;96.62;93.91
33;21.93;97.0;93.99
34;23.35;93.38;93.86
35;24.46;90.56;93.86
36;24.37;85.94;93.98
37;23.99;83.31;93.94
38;23.69;88.12;93.87
39;23.5;91.06;93.85
40;24.17;88.31;93.8
41;23.69;91.0;93.93
42;23.15;93.06;94.05
43;23.33;95.19;94.21
44;23.15;90.06;94.3
45;22.3;93.0;94.43
46;23.37;87.88;94.38
47;22.92;91.62;94.37
48;23.44;88.19;94.21
49;23.44;89.56;93.87
50;23.4;93.81;93.66
51;23.54;91.88;93.82
52;23.33;93.75;94.03
53;22.12;96.44;94.21
54;22.73;81.94;94.14
55;22.69;85.69;94.08
56;22.38;84.88;94.15
57;22.74;88.31;94.16
58;22.96;90.5;94.03
59;23.47;90.5;93.9
60;22.62;97.06;94.15
61;23.46;91.44;94.3
62;23.55;91.31;94.11
63;23.72;92.0;93.97
64;23.36;94.75;93.94
65;23.23;94.94;94.07
66;22.23;95.75;94.29
67;23.03;88.81;94.06
68;23.3;91.31;94.01
69;23.73;90.44;94.02
70;24.11;91.12;93.92
71;23.98;92.25;93.96
72;23.88;93.31;93.91
73;23.12;96.94;94.05
74;23.19;93.5;93.97
75;22.82;98.19;94.09
76;22.85;94.0;94.03
77;23.23;92.06;93.78
78;23.67;92.0;93.86
79;23.76;92.06;94.0
80;22.48;97.19;94.23
81;23.71;89.12;93.99
82;24.08;90.25;93.84
83;23.22;90.69;93.88
84;21.13;96.62;94.23
85;19.02;87.88;94.48
86;19.69;86.12;94.28
87;20.67;87.75;94.23
88;22.08;87.25;94.23
89;22.73;86.62;94.13
90;22.44;91.25;94.05
91;23.13;87.94;93.98
92;23.16;90.88;94.02
93;22.81;94.31;93.99
94;22.56;95.12;94.0
95;22.3;96.0;93.95
96;22.54;96.69;94.0
97;23.35;95.38;94.02
98;23.29;96.56;94.13
99;23.55;93.62;94.16
100;24.33;89.38;94.07
101;24.51;91.25;93.88
102;23.68;98.0;94.0
103;21.3;94.81;94.38
104;21.45;89.75;94.65
105;21.38;85.75;94.84
106;21.32;86.25;94.73
107;21.66;86.94;94.51
108;22.33;85.69;94.57
109;22.14;87.94;94.5
110;22.82;88.38;94.37
111;22.99;91.88;94.29
112;23.36;91.5;94.2
113;23.25;92.81;94.29
114;23.43;91.62;94.42
115;22.28;94.38;94.5
116;23.23;90.62;94.38
117;23.4;90.31;94.26
118;23.15;95.06;94.37
119;23.45;91.88;94.38
120;23.37;91.69;94.34
121;22.68;95.75;94.45
122;23.16;90.62;94.41
123;22.98;92.25;94.23
124;22.01;98.94;94.25
125;21.77;95.75;94.36
126;22.2;92.5;94.59
127;22.62;88.25;94.52
128;23.27;89.31;94.38
129;23.08;90.94;94.29
130;23.15;91.44;94.15
131;22.63;90.44;94.34
132;19.17;88.44;94.55
133;20.84;86.44;94.28
134;21.82;89.88;94.1
135;22.56;92.75;94.14
136;22.71;94.56;94.26
137;22.98;92.88;94.15
138;23.05;91.94;94.03
139;19.86;93.12;94.6
140;17.32;85.25;94.71
141;17.76;86.75;94.34
142;18.32;86.75;94.6
143;18.45;83.19;94.75
144;18.91;86.5;94.79
145;19.79;87.44;94.66
146;20.73;87.25;94.48
147;21.32;88.94;94.43
148;21.72;89.38;94.4
149;22.18;90.75;94.22
150;22.29;93.88;94.12
151;22.05;97.69;94.01
152;22.2;98.12;94.05
153;15.39;96.56;94.67
154;13.85;92.94;95.1
155;16.55;89.12;94.91
156;18.15;88.0;94.66
157;18.98;91.62;94.24
158;19.79;94.62;94.51
159;18.31;90.5;94.59
160;19.44;92.25;94.37
161;21.4;91.12;94.23
162;21.37;93.56;94.2
163;21.82;93.19;94.36
164;19.56;88.0;94.65
165;17.32;82.88;94.89
166;16.03;79.69;95.07
167;15.19;82.88;95.15
168;16.15;84.81;95.14
169;17.42;83.38;95.09
170;18.28;87.0;94.81
171;19.28;89.12;94.62
172;19.75;88.44;94.56
173;19.99;89.5;94.51
174;21.44;89.88;94.16
175;21.93;92.25;94.33
176;21.34;89.31;94.35
177;21.28;88.44;94.26
178;20.47;87.25;94.32
179;20.87;85.81;94.31
180;21.71;89.94;94.25
181;21.99;88.19;94.2
182;22.47;89.88;94.11
183;22.85;90.19;94.12
184;22.91;89.5;94.34
185;21.52;89.88;94.32
186;21.77;87.44;94.26
187;22.29;87.94;94.26
188;22.55;86.38;94.28
189;21.97;85.25;94.52
190;17.33;78.44;95.01
191;14.32;70.75;95.12
192;15.03;74.0;94.76
193;18.12;84.25;94.66
194;19.73;85.0;94.57
195;20.94;84.38;94.38
196;21.42;86.12;94.27
197;21.88;87.25;94.49
198;21.94;85.69;94.47
199;22.04;85.94;94.28
200;22.01;88.12;94.15
201;21.1;94.06;94.32
202;18.49;90.5;94.69
203;19.0;86.75;94.44
204;20.24;82.69;94.64
205;17.55;73.94;94.93
206;16.94;75.88;94.85
207;17.26;78.62;94.85
208;18.41;82.06;94.57
209;19.65;82.06;94.35
210;20.46;82.88;94.38
211;21.36;84.06;94.19
212;19.62;90.19;94.48
213;19.54;83.75;94.4
214;20.85;84.56;94.33
215;20.43;89.94;94.22
216;18.71;95.56;94.24
217;14.72;96.75;94.58
218;16.72;90.06;94.63
219;20.02;85.44;94.38
220;21.74;86.0;94.52
221;19.39;80.0;94.91
222;18.12;72.06;94.73
223;20.84;79.69;94.63
224;21.98;79.56;94.45
225;22.5;79.12;94.17
226;22.44;86.75;94.22
227;19.19;87.62;94.77
228;19.99;77.44;94.88
229;21.37;80.06;94.73
230;22.25;78.81;94.41
231;22.33;83.31;94.37
232;15.44;93.81;94.93
233;14.87;88.81;94.95
234;17.91;82.81;94.72
235;20.36;82.94;94.26
236;22.37;82.0;94.22
237;20.76;74.75;94.7
238;17.35;62.56;95.02
239;18.98;64.38;94.64
240;21.68;70.94;94.38
241;22.97;68.62;94.25
242;23.49;67.56;94.08
243;24.35;73.56;94.02
244;22.55;79.19;94.08
245;21.3;76.0;94.46
246;19.33;61.94;94.74
247;19.81;53.94;94.65
248;20.4;54.0;94.46
249;21.65;57.56;94.34
250;23.12;50.94;94.34
251;24.04;44.44;94.32
252;24.77;47.56;94.26
253;26.03;50.31;94.26
254;26.44;47.31;94.15
255;26.62;51.06;93.97
256;27.11;53.38;93.81
257;26.1;68.19;93.86
258;24.32;80.56;93.89
259;22.76;90.38;93.99
260;22.33;90.88;94.02
261;22.85;87.69;94.0
262;25.05;74.25;93.87
263;24.61;82.62;94.04
264;25.6;75.25;94.08
265;26.69;68.31;94.03
266;26.83;65.88;93.94
267;26.53;67.31;94.02
268;26.76;63.69;93.93
269;27.11;63.0;93.85
270;27.45;64.5;93.86
271;27.01;67.69;93.96
272;25.86;78.25;93.9
273;26.21;76.25;93.81
274;27.49;72.06;93.85
275;25.88;77.62;93.95
276;25.75;75.5;94.1
277;23.41;90.88;94.33
278;24.15;76.31;94.36
279;25.81;64.0;94.1
280;26.44;68.12;93.92
