DIA;HUMR;TEMP;PRES_ATM
1;25.23;91.88;93.66
2;25.35;91.56;93.67
3;24.71;93.0;93.78
4;24.32;92.38;93.63
5;23.93;95.62;93.74
6;23.38;90.69;94.0
7;24.19;86.19;93.94
8;24.12;88.88;93.91
9;24.02;91.12;93.94
10;23.51;89.62;93.99
11;23.66;92.0;93.97
12;23.33;90.5;94.06
13;23.17;88.25;94.14
14;23.51;87.31;94.24
15;23.41;87.38;94.37
16;23.63;86.69;94.16
17;23.63;90.31;94.02
18;23.37;92.44;94.12
19;22.99;89.69;94.28
20;22.76;88.81;94.24
21;22.37;94.0;94.06
22;22.65;91.0;94.01
23;23.48;91.12;94.02
24;23.66;89.94;94.07
25;24.23;88.38;94.04
26;24.42;88.69;93.92
27;24.38;88.62;93.91
28;23.18;95.25;93.9
29;22.81;91.5;93.84
30;23.72;88.62;93.8
31;23.34;92.12;93.81
32;22.29;96.69;93.98
33;23.14;87.0;93.96
34;23.83;88.81;93.94
35;23.57;90.5;93.96
36;22.59;94.56;94.01
37;21.49;96.19;94.31
38;21.63;90.0;94.38
39;22.21;86.06;94.22
40;22.54;85.44;94.05
41;23.0;84.5;93.81
42;23.69;88.62;93.72
43;23.33;93.56;93.94
44;22.13;92.62;94.14
45;23.53;86.19;94.03
46;23.03;92.56;94.12
47;23.05;96.44;94.16
48;24.05;93.69;94.06
49;23.15;96.19;93.87
50;23.8;90.12;93.77
51;23.98;92.75;93.8
52;23.78;93.5;93.92
53;23.6;91.12;94.12
54;22.86;95.38;94.15
55;23.09;95.12;94.0
56;23.78;93.12;94.2
57;23.46;95.31;94.34
58;24.04;90.62;94.12
59;24.08;90.69;94.06
60;23.52;89.75;94.16
61;23.94;88.44;94.12
62;23.93;91.31;94.11
63;23.52;92.06;94.01
64;24.01;90.88;93.9
65;23.63;94.19;93.82
66;23.25;92.88;93.82
67;23.01;93.69;93.98
68;23.17;90.31;93.97
69;23.4;90.88;93.94
70;22.91;95.75;94.03
71;20.98;91.19;94.3
72;21.49;89.88;94.28
73;21.23;88.44;94.28
74;21.16;90.06;94.37
75;22.66;82.25;94.21
76;22.66;86.5;94.01
77;23.11;88.81;94.11
78;22.98;93.25;94.3
79;21.39;92.81;94.38
80;22.94;88.0;94.18
81;23.8;89.0;94.0
82;23.92;88.44;93.94
83;23.55;92.06;93.91
84;23.27;93.0;94.09
85;20.3;88.0;94.22
86;22.31;88.31;94.23
87;23.58;88.44;94.26
88;24.37;88.25;94.0
89;23.09;95.38;93.96
90;18.44;93.06;94.43
91;17.3;87.88;94.68
92;19.06;84.88;94.49
93;21.0;88.12;94.21
94;22.65;89.31;94.2
95;23.33;91.12;94.24
96;23.58;90.38;94.2
