DIA;HUMR;TEMP;PRES_ATM
1;26.37;80.5;97.5
2;25.19;88.0;97.56
3;24.33;89.19;97.73
4;24.55;86.75;97.68
5;26.06;82.12;97.56
6;24.8;90.69;97.71
7;25.32;85.56;97.56
8;26.1;82.06;97.51
9;25.08;87.81;97.43
10;25.23;87.81;97.76
11;23.83;90.44;97.99
12;25.06;83.44;97.67
13;25.16;84.31;97.46
14;24.76;88.25;97.66
15;24.27;85.0;97.82
16;25.31;83.19;97.84
17;25.86;82.62;97.75
18;26.08;81.56;97.78
19;26.55;82.75;97.77
20;25.4;87.5;97.66
21;25.92;83.12;97.59
22;26.15;81.94;97.44
23;25.84;85.5;97.45
24;26.03;85.5;97.55
25;26.44;82.38;97.55
26;25.87;85.94;97.4
27;25.62;88.75;97.29
28;25.57;88.38;97.3
29;25.56;87.38;97.27
30;26.57;85.38;97.22
31;26.27;86.62;97.35
32;26.15;84.06;97.44
33;25.77;83.69;97.43
34;25.8;87.0;97.25
35;27.4;80.19;97.18
36;28.07;65.5;97.27
37;28.09;66.81;97.27
38;28.35;72.88;97.33
39;26.53;81.56;97.37
40;26.98;78.81;97.37
41;26.51;81.56;97.51
42;25.0;90.12;97.67
43;25.9;86.5;97.69
44;25.23;86.38;97.75
45;26.25;82.38;97.84
46;26.81;79.12;97.81
47;25.18;83.31;97.92
48;26.27;76.75;97.72
49;25.87;83.88;97.44
50;25.2;88.75;97.32
51;25.54;86.25;97.49
52;26.12;82.94;97.67
53;25.75;80.19;97.65
54;26.14;72.75;97.54
55;24.34;88.31;97.53
56;25.54;81.69;97.62
57;26.39;77.5;97.66
58;25.87;80.69;97.63
59;26.69;77.19;97.56
60;27.03;78.12;97.7
61;27.51;73.44;97.78
62;27.39;76.75;97.62
63;27.58;77.56;97.49
64;26.81;78.56;97.48
65;26.67;79.06;97.61
66;26.33;77.88;97.78
67;27.58;74.62;97.58
68;28.11;72.12;97.56
69;27.64;72.75;97.58
70;28.23;71.94;97.53
71;28.55;68.5;97.51
72;27.54;79.56;97.51
73;26.05;85.19;97.62
74;26.24;83.56;97.61
75;25.86;84.81;97.69
76;26.94;77.12;97.55
77;27.01;76.88;97.38
78;26.12;81.69;97.52
79;26.62;79.44;97.54
80;25.5;88.94;97.7
81;26.8;80.81;97.52
82;26.44;83.69;97.48
83;26.27;81.5;97.54
84;23.33;77.56;97.89
85;22.98;60.5;97.93
86;24.69;69.12;97.74
87;26.26;71.19;97.69
88;27.63;70.5;97.64
89;26.39;80.31;97.58
90;25.4;85.25;97.54
91;24.54;84.31;97.58
92;25.54;78.38;97.61
93;27.02;72.94;97.52
94;26.44;82.25;97.51
95;25.74;83.19;97.5
96;27.49;73.62;97.51
97;27.15;75.88;97.56
98;26.54;80.56;97.67
99;28.16;70.62;97.61
100;29.03;67.38;97.52
101;28.57;72.44;97.42
102;28.28;72.62;97.57
103;28.19;66.19;97.85
104;27.18;57.69;98.1
105;26.9;57.12;98.23
106;26.76;61.88;98.12
107;26.37;65.75;97.98
108;25.89;70.19;98.05
109;26.37;72.56;98.03
110;26.24;75.06;97.97
111;27.37;69.12;97.86
112;27.8;69.19;97.74
113;27.55;71.56;97.82
114;28.44;61.81;97.89
115;28.52;56.62;97.93
116;28.05;61.5;97.85
117;28.26;68.5;97.78
118;28.39;65.25;97.9
119;28.41;65.25;97.86
120;28.76;65.81;97.85
121;29.01;62.38;97.94
122;28.87;60.94;97.91
123;26.96;73.06;97.82
124;25.94;78.44;97.82
125;26.4;72.69;97.96
126;25.94;74.31;98.1
127;27.4;67.0;98.0
128;27.53;65.31;97.88
129;27.64;65.31;97.83
130;27.64;66.88;97.7
131;23.37;83.38;98.0
132;23.76;64.31;98.03
133;26.12;63.69;97.77
134;27.15;69.19;97.64
135;27.3;70.94;97.73
136;25.48;82.75;97.86
137;25.27;80.5;97.74
138;25.7;78.56;97.65
139;22.33;67.19;98.26
140;18.73;47.5;98.27
141;19.51;65.12;97.99
142;22.73;57.56;98.15
143;22.51;57.06;98.27
144;23.46;55.56;98.3
145;24.8;54.56;98.14
146;25.68;53.44;97.95
147;26.3;57.31;97.98
148;25.58;53.5;97.96
149;25.31;59.44;97.85
150;26.4;65.75;97.77
151;26.87;68.44;97.65
152;24.08;84.75;97.76
153;17.34;78.5;98.4
154;17.33;71.69;98.71
155;19.76;62.19;98.48
156;21.6;62.75;98.19
157;21.44;66.56;97.83
158;22.78;70.62;98.21
159;20.73;64.75;98.19
160;24.67;70.38;97.89
161;25.44;74.69;97.77
162;26.27;73.88;97.73
163;26.09;72.75;97.91
164;22.37;64.62;98.32
165;18.19;58.75;98.56
166;18.57;52.25;98.72
167;18.12;51.62;98.78
168;19.64;56.31;98.72
169;21.65;56.5;98.61
170;23.31;56.25;98.31
171;24.27;57.31;98.18
172;24.52;57.25;98.15
173;25.19;56.94;98.05
174;25.15;61.94;97.78
175;26.2;62.38;97.94
176;25.36;61.75;97.89
177;25.88;54.56;97.83
178;26.27;52.88;97.83
179;25.5;53.38;97.84
180;25.09;53.62;97.84
181;25.41;49.56;97.75
182;25.76;51.62;97.67
183;26.28;52.38;97.72
184;26.38;47.94;97.91
185;25.75;43.19;97.85
186;25.72;49.31;97.84
187;26.6;49.12;97.82
188;26.68;46.69;97.85
189;26.9;41.75;98.08
190;18.62;46.19;98.85
191;17.19;46.31;98.79
192;20.25;42.19;98.33
193;24.37;41.38;98.19
194;25.53;49.06;98.07
195;26.51;48.81;97.87
196;26.46;52.31;97.79
197;28.42;49.75;97.99
198;28.11;44.44;97.93
199;27.52;42.88;97.77
200;27.4;45.19;97.69
201;28.76;40.75;97.85
202;20.62;45.12;98.37
203;24.33;40.88;97.96
204;25.94;41.94;98.2
205;22.04;38.88;98.54
206;22.95;42.31;98.4
207;23.12;37.38;98.38
208;24.94;39.5;98.04
209;26.19;39.38;97.85
210;26.95;36.94;97.91
211;28.25;36.44;97.72
212;26.83;38.88;97.97
213;26.26;37.25;97.89
214;27.86;40.69;97.82
215;28.71;47.0;97.66
216;26.62;51.12;97.83
217;17.53;71.44;98.21
218;20.65;76.62;98.19
219;26.51;60.12;97.85
220;27.07;54.69;98.1
221;22.76;31.69;98.52
222;23.25;32.88;98.26
223;26.33;29.06;98.13
224;28.33;32.38;97.89
225;29.42;38.88;97.6
226;27.79;54.38;97.76
227;19.51;72.25;98.37
228;22.82;62.12;98.42
229;25.97;51.69;98.22
230;27.92;48.94;97.88
231;28.5;56.75;97.94
232;15.55;61.25;98.75
233;17.37;62.12;98.61
234;19.26;60.69;98.34
235;24.3;57.69;97.73
236;27.19;56.62;97.74
237;23.41;42.69;98.38
238;21.43;32.75;98.58
239;23.45;38.38;98.12
240;27.95;38.56;97.81
241;28.82;44.62;97.71
242;29.98;45.62;97.53
243;30.54;45.62;97.51
244;30.96;44.25;97.5
245;20.73;54.44;98.24
246;20.59;41.19;98.33
247;21.47;43.88;98.17
248;22.77;38.12;97.99
249;25.12;31.81;97.85
250;27.48;31.25;97.83
251;29.28;32.5;97.8
252;29.87;28.12;97.67
253;30.9;28.62;97.64
254;31.19;27.75;97.55
255;31.58;29.56;97.4
256;32.35;33.25;97.26
257;31.42;42.81;97.32
258;29.67;52.81;97.42
259;27.8;64.25;97.51
260;27.9;66.38;97.61
261;27.37;66.06;97.51
262;29.26;56.56;97.43
263;30.09;52.44;97.57
264;31.26;49.25;97.53
265;31.76;45.62;97.49
266;31.51;46.12;97.4
267;31.66;44.56;97.47
268;32.15;43.56;97.4
269;32.63;41.0;97.31
270;31.37;47.94;97.38
271;27.63;71.25;97.59
272;26.49;76.25;97.47
273;29.01;65.56;97.35
274;31.43;54.12;97.35
275;31.9;51.81;97.47
276;30.39;57.88;97.6
277;28.29;67.38;97.8
278;29.26;55.31;97.78
279;31.59;45.19;97.49
280;31.61;50.75;97.41
281;30.55;57.12;97.38
282;29.33;62.19;97.41
283;29.64;62.44;97.47
284;26.06;82.44;97.63
285;27.8;71.19;97.6
286;29.64;62.88;97.69
287;30.76;57.94;97.58
288;28.73;65.06;97.54
289;29.24;65.94;97.3
290;28.93;67.44;97.32
291;29.37;65.75;97.38
292;30.38;60.5;97.37
293;28.15;68.56;97.43
294;28.38;67.12;97.38
295;28.37;69.0;97.45
296;27.48;72.31;97.51
297;27.01;75.88;97.68
298;27.85;70.06;97.62
299;28.88;67.19;97.51
300;28.8;66.81;97.58
301;28.15;72.5;97.49
302;26.51;84.5;97.5
303;27.95;73.69;97.56
304;28.64;69.44;97.62
305;27.27;78.62;97.62
306;29.01;67.38;97.36
307;29.3;63.0;97.28
308;27.79;74.31;97.37
309;26.32;82.75;97.47
310;26.26;79.88;97.52
311;28.17;67.81;97.58
312;27.87;68.38;97.53
313;29.79;62.0;97.39
314;28.43;70.38;97.31
315;29.05;68.56;97.24
316;28.32;73.75;97.32
317;27.87;76.06;97.4
318;28.05;72.81;97.52
319;27.8;74.12;97.54
320;26.7;79.75;97.55
321;27.37;81.25;97.4
322;26.01;90.31;97.6
323;24.3;77.94;97.75
324;26.55;75.25;97.66
325;26.33;84.69;97.59
326;26.95;81.94;97.4
327;25.19;92.88;97.35
328;25.39;83.56;97.56
329;26.73;75.19;97.52
330;26.24;81.81;97.47
331;26.15;88.12;97.35
332;24.92;92.88;97.43
333;24.44;90.12;97.49
334;25.61;86.94;97.3
335;24.86;93.25;97.35
336;23.58;83.69;97.5
337;22.97;71.5;97.56
338;24.15;73.0;97.34
339;26.19;79.06;97.39
340;26.05;88.38;97.66
341;25.6;86.5;97.94
342;25.57;74.94;97.86
343;26.62;81.5;97.66
344;26.55;86.44;97.82
345;26.62;84.69;97.82
346;26.9;83.12;97.77
347;25.48;87.94;97.73
348;26.3;80.44;97.7
349;26.14;82.06;97.99
350;26.3;80.0;97.95
351;26.87;79.19;97.82
352;26.72;78.69;97.88
353;26.71;78.25;97.82
354;26.44;77.81;97.63
355;26.93;75.5;97.63
356;26.26;79.0;97.75
357;26.48;81.5;97.74
