DIA;HUMR;TEMP;PRES_ATM
1;26.39;88.81;97.2
2;26.48;87.5;97.29
3;26.17;87.06;97.39
4;25.73;91.06;97.25
5;25.32;92.75;97.37
6;26.43;82.31;97.45
7;27.3;78.19;97.37
8;27.04;84.06;97.43
9;26.47;84.19;97.46
10;26.73;82.31;97.48
11;27.42;79.69;97.4
12;26.85;77.0;97.49
13;26.63;74.31;97.56
14;24.3;90.62;97.85
15;25.5;84.88;97.92
16;25.9;86.19;97.69
17;26.04;84.38;97.61
18;25.47;87.0;97.71
19;25.42;87.06;97.86
20;25.62;83.31;97.8
21;24.37;89.19;97.71
22;24.94;85.44;97.64
23;25.27;87.56;97.64
24;26.62;80.31;97.57
25;26.99;80.75;97.52
26;25.83;86.12;97.51
27;25.55;87.56;97.5
28;25.28;91.19;97.33
29;25.33;90.44;97.25
30;25.43;89.5;97.26
31;24.28;91.69;97.4
32;24.66;90.0;97.49
33;25.08;89.31;97.48
34;25.05;88.25;97.58
35;25.27;87.56;97.61
36;25.23;89.81;97.63
37;24.72;80.88;97.8
38;23.55;84.44;97.79
39;23.87;90.31;97.66
40;24.23;91.44;97.52
41;24.12;92.12;97.36
42;24.9;91.62;97.35
43;26.15;84.31;97.51
44;25.16;87.88;97.51
45;25.31;88.06;97.49
46;24.23;93.12;97.61
47;25.63;86.69;97.69
48;25.8;89.25;97.59
49;24.95;92.25;97.41
50;25.34;89.0;97.31
51;25.83;87.75;97.37
52;24.44;93.0;97.58
53;24.02;92.06;97.77
54;24.7;88.19;97.7
55;25.44;86.94;97.61
56;26.27;87.12;97.79
57;27.01;83.12;97.83
58;26.21;88.25;97.63
59;26.05;88.75;97.62
60;25.99;87.88;97.68
61;25.95;87.19;97.68
62;25.07;90.94;97.68
63;24.94;87.19;97.6
64;25.51;89.44;97.45
65;25.3;89.62;97.46
66;25.37;88.88;97.45
67;24.87;88.94;97.58
68;24.76;88.69;97.58
69;24.05;92.62;97.58
70;24.01;93.62;97.65
71;23.5;87.06;97.73
72;24.61;87.5;97.77
73;23.02;91.5;97.78
74;23.27;82.19;97.86
75;23.93;78.94;97.67
76;25.08;85.88;97.55
77;25.22;89.19;97.71
78;25.58;86.88;97.82
79;25.17;88.25;97.8
80;25.15;85.12;97.66
81;25.39;88.81;97.56
82;25.34;91.19;97.49
83;25.24;91.19;97.5
84;24.15;92.62;97.74
85;23.2;82.31;97.74
86;25.06;83.0;97.74
87;25.68;85.88;97.75
88;25.01;90.62;97.6
89;24.45;88.69;97.64
90;16.51;83.12;98.18
91;18.3;78.81;98.29
92;21.5;82.56;98.03
93;24.01;87.0;97.77
94;25.55;84.31;97.77
95;25.49;84.06;97.77
96;25.37;83.69;97.72
97;25.51;86.31;97.65
98;26.15;85.81;97.7
99;25.46;89.0;97.71
100;25.34;88.75;97.55
101;25.36;86.0;97.46
102;25.32;86.12;97.51
103;24.93;89.19;97.65
104;22.28;82.88;97.91
105;22.2;74.38;97.85
106;23.92;83.31;97.82
107;24.15;78.94;97.91
108;22.92;75.06;97.94
109;23.9;74.44;97.82
110;25.08;78.0;97.8
111;25.39;81.0;97.72
112;25.61;83.62;97.43
113;26.01;83.31;97.47
114;25.91;85.44;97.6
115;25.77;86.0;97.65
116;26.06;84.69;97.62
117;25.95;83.19;97.54
118;26.15;78.69;97.78
119;25.96;70.5;97.93
120;25.28;71.94;97.87
121;26.13;77.5;97.69
122;26.09;80.88;97.73
123;22.43;82.0;98.11
124;20.2;61.0;98.25
125;19.58;53.5;98.18
126;21.89;57.19;98.2
127;23.34;62.94;98.18
128;24.7;64.69;97.93
129;26.01;71.25;97.92
130;26.71;70.12;97.84
131;24.15;81.25;97.92
132;24.16;75.56;97.89
133;25.62;74.88;97.72
134;26.61;74.94;97.71
135;27.26;69.12;97.82
136;21.98;54.81;98.42
137;19.48;49.69;98.68
138;17.33;39.12;98.66
139;15.6;42.12;98.36
140;17.62;50.12;98.26
141;21.22;56.19;98.23
142;23.8;68.81;98.17
143;25.24;71.75;97.9
144;25.95;69.56;97.82
145;25.8;63.25;97.96
146;26.2;64.5;98.05
147;27.16;56.12;97.89
148;25.84;71.62;97.7
149;26.43;75.19;97.56
150;26.71;72.38;97.66
151;24.96;70.06;97.73
152;25.0;61.88;97.73
153;26.55;61.81;97.82
154;24.22;63.19;98.06
155;25.83;62.25;97.89
156;26.32;60.31;97.79
157;25.79;65.44;97.74
158;26.17;67.31;97.71
159;25.99;73.19;97.68
160;24.98;82.06;97.81
161;19.86;84.62;98.34
162;17.94;67.06;98.52
163;17.2;57.75;98.54
164;17.04;49.44;98.42
165;19.4;60.75;97.98
166;22.03;78.06;97.92
167;24.15;80.56;97.8
168;25.38;79.06;97.79
169;20.79;71.44;98.19
170;22.4;73.56;97.99
171;24.6;77.31;97.92
172;24.67;75.81;97.82
173;24.89;74.38;97.79
174;24.7;70.88;97.91
175;25.45;62.69;97.97
176;24.94;58.94;98.2
177;22.87;57.0;98.15
178;23.03;60.56;97.94
179;24.1;63.56;98.03
180;23.69;54.44;98.15
181;24.01;56.81;97.91
182;23.57;66.69;97.78
