DIA;HUMR;TEMP;PRES_ATM
1;25.87;88.56;98.22
2;24.73;95.19;98.33
3;23.4;98.19;98.51
4;24.73;88.19;98.51
5;25.91;84.62;98.31
6;25.43;92.69;98.5
7;25.94;88.62;98.53
8;26.04;81.31;98.48
9;26.05;76.38;98.38
10;24.62;91.62;98.56
11;24.11;91.88;98.82
12;24.77;90.69;98.48
13;24.97;91.5;98.19
14;24.19;95.19;98.43
15;23.93;92.56;98.69
16;25.22;90.25;98.69
17;25.41;89.62;98.61
18;25.45;92.06;98.62
19;24.63;96.25;98.7
20;25.48;90.94;98.53
21;25.53;90.06;98.41
22;25.78;86.38;98.24
23;25.81;87.88;98.24
24;26.03;89.19;98.36
25;25.33;94.56;98.44
26;25.69;91.19;98.27
27;25.25;95.62;98.13
28;25.24;93.38;98.13
29;24.96;96.12;98.11
30;25.34;96.0;98.03
31;25.76;96.06;98.16
32;25.32;96.69;98.36
33;25.01;92.69;98.4
34;26.19;90.25;98.2
35;27.1;85.31;98.21
36;25.77;79.44;98.29
37;25.1;82.38;98.26
38;25.64;87.75;98.25
39;26.26;88.31;98.2
40;25.65;89.81;98.18
41;26.28;86.19;98.32
42;25.37;89.44;98.51
43;24.76;89.0;98.69
44;24.57;76.0;98.74
45;24.94;82.88;98.84
46;26.1;86.06;98.72
47;25.12;93.31;98.79
48;24.75;88.0;98.63
49;25.65;86.5;98.21
50;25.52;90.12;98.04
51;25.43;91.44;98.28
52;24.83;93.62;98.55
53;25.49;85.19;98.64
54;25.34;79.38;98.51
55;24.8;78.81;98.46
56;25.7;74.94;98.53
57;25.97;79.94;98.55
58;25.06;92.62;98.45
59;26.37;84.81;98.36
60;25.39;93.44;98.59
61;26.12;86.94;98.69
62;26.65;85.44;98.48
63;27.04;82.5;98.33
64;26.55;85.38;98.31
65;25.55;89.75;98.49
66;25.53;84.56;98.71
67;26.2;83.12;98.44
68;26.83;83.69;98.39
69;26.77;81.94;98.42
70;27.11;80.0;98.35
71;26.9;85.5;98.36
72;26.8;87.19;98.3
73;25.75;91.12;98.44
74;26.51;86.44;98.38
75;25.84;90.94;98.52
76;26.55;83.75;98.37
77;26.67;84.12;98.15
78;25.81;87.25;98.37
79;26.77;81.56;98.44
80;25.49;82.25;98.62
81;26.19;81.75;98.34
82;27.48;79.31;98.22
83;25.29;87.38;98.34
84;23.15;73.38;98.9
85;20.76;62.38;98.95
86;21.73;62.44;98.76
87;24.21;71.31;98.66
