DIA;HUMR;TEMP;PRES_ATM
1;27.65;85.0;97.98
2;27.73;84.0;98.03
3;27.0;86.19;98.16
4;26.64;87.81;98.03
5;25.22;96.69;98.2
6;26.06;87.31;98.39
7;27.15;84.19;98.27
8;25.83;87.5;98.35
9;26.96;80.56;98.3
10;26.65;83.56;98.38
11;27.0;83.56;98.33
12;27.45;80.69;98.36
13;27.72;73.56;98.44
14;25.42;87.12;98.64
15;26.12;81.12;98.75
16;26.6;81.75;98.48
17;27.14;78.25;98.37
18;27.11;80.0;98.48
19;26.63;86.25;98.68
20;26.45;83.81;98.65
21;25.62;82.5;98.51
22;24.87;87.69;98.45
23;26.31;82.25;98.44
24;27.17;79.25;98.45
25;27.28;79.69;98.39
26;27.77;77.31;98.28
27;27.48;79.38;98.3
28;26.15;82.12;98.29
29;27.2;65.75;98.17
30;27.8;67.94;98.11
31;26.15;84.94;98.24
32;25.05;93.75;98.4
33;26.37;84.75;98.32
34;26.85;80.94;98.32
35;26.95;79.06;98.35
36;25.75;89.0;98.43
37;23.48;86.06;98.82
38;23.07;80.88;98.79
39;23.81;76.94;98.6
40;25.24;75.94;98.42
41;26.57;77.19;98.14
42;26.98;81.25;98.11
43;26.4;83.44;98.41
44;24.06;78.94;98.57
45;25.78;80.62;98.4
46;25.44;89.5;98.5
47;27.03;84.5;98.54
48;27.1;86.75;98.44
49;25.58;93.81;98.28
50;26.61;84.69;98.13
51;26.59;85.81;98.18
52;25.59;92.44;98.33
53;24.73;95.5;98.6
54;25.07;93.12;98.56
55;25.94;89.94;98.42
56;26.43;89.75;98.64
57;26.21;89.38;98.72
58;26.62;85.06;98.47
59;27.23;83.06;98.42
60;26.88;82.38;98.53
61;26.85;80.5;98.52
62;26.99;80.94;98.5
63;27.23;81.19;98.38
64;26.94;86.19;98.26
65;25.47;92.56;98.23
66;26.22;86.5;98.23
67;26.3;86.62;98.41
68;25.2;89.75;98.4
69;25.9;83.06;98.38
70;23.44;93.25;98.6
71;21.87;83.25;98.73
72;24.43;80.12;98.7
73;24.08;76.69;98.68
74;24.47;71.88;98.76
75;24.3;70.44;98.58
76;25.4;77.38;98.38
77;26.05;83.94;98.53
78;24.4;90.44;98.78
79;22.87;84.25;98.82
80;25.32;77.5;98.57
81;26.27;80.5;98.39
82;26.61;81.94;98.28
83;25.79;91.19;98.29
84;20.83;92.56;98.75
85;21.11;77.25;98.72
86;24.0;77.12;98.66
87;25.89;80.31;98.65
88;27.03;81.19;98.37
89;24.63;88.25;98.49
90;17.83;61.19;99.15
91;19.54;56.81;99.26
92;21.69;68.06;98.96
93;24.18;79.12;98.61
94;26.1;82.19;98.62
95;26.86;80.0;98.63
96;27.58;77.38;98.55
97;27.62;76.56;98.47
98;27.39;77.75;98.53
99;26.98;80.94;98.52
100;27.45;76.5;98.32
101;27.48;73.5;98.2
102;26.69;80.19;98.26
103;25.64;88.62;98.48
104;21.44;82.5;98.97
105;21.11;66.38;98.85
106;22.07;74.38;98.78
107;22.42;72.94;98.94
108;22.66;66.19;98.89
109;23.94;71.81;98.69
110;25.14;78.12;98.61
111;26.59;76.75;98.52
112;27.42;74.81;98.18
113;27.55;75.81;98.25
114;27.24;78.38;98.36
115;27.62;77.06;98.41
116;27.99;73.56;98.36
117;28.25;70.88;98.26
118;28.33;71.69;98.54
119;24.38;67.12;98.98
120;25.82;62.12;98.77
121;26.85;69.88;98.47
122;27.52;69.38;98.48
123;20.89;66.75;99.17
124;21.87;39.62;99.19
125;20.61;47.62;99.08
126;21.96;48.5;99.13
127;23.98;51.19;99.1
128;25.46;58.19;98.76
129;26.03;72.38;98.74
130;26.4;77.38;98.72
131;22.08;82.81;98.96
132;23.87;74.0;98.8
133;25.54;74.06;98.54
134;26.65;72.88;98.53
135;25.37;67.44;98.8
136;22.26;49.19;99.42
137;20.54;43.38;99.66
138;18.72;37.38;99.64
139;17.32;40.38;99.25
140;18.87;47.75;99.1
141;22.21;56.56;99.03
142;24.33;67.44;99.0
143;25.8;70.12;98.69
144;26.84;66.25;98.57
145;27.2;64.19;98.75
146;25.64;68.94;98.9
147;26.94;62.5;98.71
148;27.21;62.06;98.45
149;27.58;60.12;98.32
150;26.69;69.31;98.47
151;20.26;75.62;98.76
152;22.35;74.75;98.62
153;24.77;73.06;98.7
154;22.09;62.69;99.04
155;24.84;61.56;98.76
156;26.23;63.12;98.59
157;26.61;61.75;98.51
158;26.08;63.19;98.56
159;25.1;78.5;98.48
160;24.55;88.69;98.62
161;19.52;74.25;99.4
162;18.8;49.44;99.52
163;15.3;48.0;99.56
164;14.98;49.38;99.39
165;17.51;58.0;98.86
166;20.55;76.62;98.74
167;23.92;75.38;98.61
168;25.51;69.5;98.66
169;21.15;37.25;99.18
170;22.02;54.81;98.86
171;24.37;69.81;98.72
172;25.7;67.38;98.58
173;26.41;65.88;98.53
174;26.53;66.12;98.67
175;25.94;61.62;98.8
176;24.61;52.69;99.17
177;22.98;52.5;99.1
178;23.67;52.88;98.74
179;24.15;56.19;98.87
180;24.07;47.56;99.09
181;23.94;52.81;98.71
182;24.51;53.06;98.53
183;26.34;52.44;98.62
184;26.62;57.69;98.88
185;27.59;56.31;98.78
186;28.19;51.75;98.67
187;28.01;54.62;98.49
188;28.01;56.44;98.49
189;27.93;55.44;98.87
190;27.7;44.81;98.72
191;28.57;46.38;98.44
192;29.89;49.31;98.26
193;21.63;46.81;99.06
194;23.21;47.38;98.78
195;26.73;56.25;98.36
196;26.74;66.38;98.24
197;24.68;85.44;98.49
198;15.66;62.94;99.33
199;20.29;63.12;99.13
200;22.98;70.56;99.13
201;24.19;63.19;98.8
202;24.86;54.75;98.49
203;25.28;53.5;98.46
204;26.3;53.5;98.45
205;27.33;51.25;98.45
206;27.58;53.5;98.61
207;27.69;51.12;98.71
208;27.26;48.31;98.69
209;27.06;45.06;98.56
210;22.62;44.25;99.15
211;22.9;48.44;98.79
212;25.76;50.44;98.51
213;27.37;50.56;98.5
214;28.26;49.12;98.35
215;29.28;47.81;98.28
216;28.58;56.31;98.36
217;20.62;78.44;98.79
218;22.77;76.0;98.59
219;25.23;73.94;98.5
220;26.41;71.38;98.63
221;18.83;66.25;99.59
222;17.94;43.06;99.65
223;18.34;44.69;99.12
224;22.33;46.12;98.82
225;25.85;57.19;98.66
226;28.27;55.31;98.5
227;29.05;46.94;98.22
228;22.89;81.25;98.36
229;26.1;72.5;98.06
230;19.22;62.81;99.1
231;17.0;32.62;99.89
232;14.01;48.81;99.6
233;16.55;52.38;99.39
234;20.71;45.75;99.12
235;23.27;57.06;98.88
236;26.01;54.12;98.83
237;26.23;53.56;98.71
238;26.7;52.75;98.64
239;27.05;54.5;98.41
240;24.48;52.56;99.12
241;20.05;37.25;99.57
242;22.14;40.5;99.12
243;24.69;46.25;98.63
244;26.71;48.25;98.21
245;25.18;44.12;98.83
246;23.76;35.44;99.25
247;23.99;36.81;99.15
248;24.12;34.81;99.17
249;25.09;37.69;98.96
250;27.54;39.62;98.33
251;30.29;39.0;98.07
252;30.97;47.0;98.4
253;24.4;30.44;99.07
254;26.03;37.38;98.62
255;29.26;49.25;98.27
256;28.86;59.88;98.26
257;20.46;72.19;99.03
258;20.46;49.62;99.38
259;24.52;45.56;98.86
260;27.64;46.0;98.36
261;29.46;49.56;98.11
262;29.97;54.12;98.14
263;29.56;58.81;98.14
264;31.03;52.81;98.04
265;22.98;70.0;98.81
266;23.71;44.94;98.93
267;25.94;49.94;98.47
268;28.85;52.12;98.21
269;29.41;57.25;98.24
270;28.5;65.25;98.22
271;22.27;76.12;98.56
272;18.85;69.5;99.05
273;23.05;59.56;98.96
274;26.61;56.81;98.88
275;29.32;53.94;98.68
276;29.51;53.0;98.54
277;30.86;50.25;98.11
278;30.82;52.81;97.98
279;27.37;73.31;98.34
280;21.54;77.06;98.84
281;25.96;63.19;98.27
282;25.8;56.19;98.61
283;24.82;53.44;98.72
284;27.98;63.19;98.48
285;26.13;77.81;98.4
286;23.43;86.69;98.54
